name,score
Malin Persson Giolito,20
Camilla Läckberg,20
Ambition Sverige,20
Julia Bergman Everberg,20
Niiinis Kitchenlife,20
Liam M,20
Jennie Walldèn,20
HaylieOPappa,20
Jenny Strömstedt,20
Lisa Borg fd Anckarman,20
Christina Schollin,20
Cluee News,20
Supersagor,20
Stefan Hildingsson,20
Kalle Zackari Wahlström,20
Marcus Palmkvist,20
kanalgratisdotse,20
Victor Leksell,20
Frihetsnytt,20
MARCUS DÜBOIS,20
Periks Värld,20
Anders Bagge,20
Steffo Törnquist,20
Ant Wan,20
F I L I P D I K M E N,20
Beas liv,20
LINDA-MARIE ASSERGÅRD,19
Charlotta Rexmark,19
LAKI,19
Ulf Kristersson,19
Brita Zackari,19
ManfredErlandsson,19
Jonkan,19
Max liv med familj,19
Linus Wahlgren,19
Charlie Weimers MEP,19
BJÖRKARPS GÅRDEN,19
Kärlek,19
Mark Levengood,19
Castor,19
TV4 Nyheterna,19
Carina Berg,19
Josephine Bornebusch,19
Martin Knutsson,19
Lustiga Tankar,19
Marléne Desirée Eriksson,19
Viktor Frisk,19
Linn Ahlborg,19
Emelie larsson,19
Jakob Norrgård,19
Frusna Tassar,19
stefania malmström,19
GAD,19
Emelie Ringholm,19
Helena Bergström,19
MotVikt,19
Musikhjälpen,19
Samir Abu Eid,19
SVT Nyheter,19
hannahappy,19
Familjen Co Mamma Mamma Barn,19
Finn Aldén-Joyce,19
Mjölbypartiet,19
Gurkis,19
JENNIFER E. ANDERSSON,19
Mia Skäringer Lázár,19
ortenkomediii,19
LIAMOO,18
Joel Erik,18
Håkan Bergmark TV,18
Richards traktormaskin museum,18
Baby Idol,18
Kristin Kaspersen,18
Kommunal,18
Marcus Oscarsson,18
Familjen Almqvist,18
Marcus Dübois,18
Anders på landet,18
NOCCO,18
Fredrik Steen,18
Fredrik Wikingsson,18
Lee Christiernsson,18
Leif GW Persson Official,18
Anders Hansen,18
Lennart Matikainen,18
Helan Shabani,18
Niklas Strömstedt,18
Albin Olsson abbedabb,18
advokatsnack,18
Lisa Chris,18
ALL OF SWEDEN,18
HOOJA,18
Daniel Norberg,18
STAMSITE,18
SVT Sport,18
Martin Björk,18
Sportbladet,18
fotbollskanalen,18
DIYARI MAHMOUD,18
Christian Åkesson,18
Sara Grimlund Goldensohn,18
Jonas Parandian,18
Jonas Sjöstedt,18
Miss Li,18
Joppe Cooks,18
Jacke Sofia,18
Samir Badran,18
CHRIPPA,18
KHARMA,18
Nina Rung,18
Bror Wilhelm,18
Marie Mandelmann,18
Emma Hamberg,18
SVT Barn,18
Blondie,18
Katrin Sundberg,18
Eva Röse WomenLifeFreedom,18
Markus Aujalay,18
Tilda Törnqvist,18
bergbana,17
Sofia Åhman,17
SIGRID BERNSON,17
Ola Möller,17
Sara Wimmercranz,17
Världen idag,17
Vänsterpartiet Stockholms stad,17
jeki,17
Stefan Bergman,17
PLC Sveriges Främsta Holistiska Hälsocoachning,17
Richard Herrey,17
Peter Esse,17
Tomu Två,17
Sandra Lindahl,17
TV4 Hockey,17
The Gräsbergs,17
Tone Sekelius,17
Vinsmart,17
Margaux Dietz,17
RIX MorronZoo,17
Matbubbel Jenny Andrén,17
Måns Möller,17
Raketforskaren,17
Ulf Wakenius Artist Page,17
Tankesmedjan Timbro,17
Tilde de Paula,17
Melodifestivalen,17
Linda Fridland,17
Ida Halonen Bomban,17
Kammi,17
KARAKTÄRER,17
Josefin Svanberg,17
Att lyfta sig själv och andra - Tomas Gunnarsson,17
BL,17
Bingo Rimer,17
