game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q477199,Lineage II,32
http://www.wikidata.org/entity/Q737103,Quake II,32
http://www.wikidata.org/entity/Q737308,Star Wars The Old Republic,32
http://www.wikidata.org/entity/Q753892,Prince of Persia The Two Thrones,32
http://www.wikidata.org/entity/Q1043534,Galaga,32
http://www.wikidata.org/entity/Q791569,Bayonetta,32
http://www.wikidata.org/entity/Q35627,Sonic the Hedgehog 2,32
http://www.wikidata.org/entity/Q1050298,Super Mario 3D Land,32
http://www.wikidata.org/entity/Q327602,Ikariam,31
http://www.wikidata.org/entity/Q692360,Medal of Honor Allied Assault,31
http://www.wikidata.org/entity/Q725280,FIFA 07,31
http://www.wikidata.org/entity/Q726167,Harry Potter och Hemligheternas kammare,31
http://www.wikidata.org/entity/Q751936,Devil May Cry 4,31
http://www.wikidata.org/entity/Q524267,Frogger,31
http://www.wikidata.org/entity/Q773395,Gran Turismo 5,31
http://www.wikidata.org/entity/Q748317,Return to Castle Wolfenstein,31
http://www.wikidata.org/entity/Q774773,Donkey Kong 64,31
http://www.wikidata.org/entity/Q804859,Baldur's Gate II Shadows of Amn,31
http://www.wikidata.org/entity/Q728989,Gears of War 2,30
http://www.wikidata.org/entity/Q474798,The Legend of Zelda The Minish Cap,30
http://www.wikidata.org/entity/Q754403,Total War Shogun 2,30
http://www.wikidata.org/entity/Q739450,The Elder Scrolls II Daggerfall,30
http://www.wikidata.org/entity/Q756558,S.T.A.L.K.E.R. Clear Sky,30
http://www.wikidata.org/entity/Q746351,Command Conquer Red Alert 3,30
http://www.wikidata.org/entity/Q538821,Crysis 3,30
http://www.wikidata.org/entity/Q791439,Battlefield 1942,30
http://www.wikidata.org/entity/Q811024,Battlefield 2142,30
http://www.wikidata.org/entity/Q377242,Splinter Cell,29
http://www.wikidata.org/entity/Q426939,FIFA 11,29
http://www.wikidata.org/entity/Q484907,Guild Wars 2,29
http://www.wikidata.org/entity/Q1045765,Super Mario World 2 Yoshi's Island,29
http://www.wikidata.org/entity/Q1050284,Resident Evil Code Veronica,29
http://www.wikidata.org/entity/Q788762,S.T.A.L.K.E.R. Call of Pripyat,29
http://www.wikidata.org/entity/Q533304,Splinter Cell Chaos Theory,29
http://www.wikidata.org/entity/Q549217,Neverwinter Nights,29
http://www.wikidata.org/entity/Q28418,Cossacks European Wars,29
http://www.wikidata.org/entity/Q370549,Resistance Fall of Man,28
http://www.wikidata.org/entity/Q379904,Colossal Cave Adventure,28
http://www.wikidata.org/entity/Q728983,Supreme Commander,28
http://www.wikidata.org/entity/Q731466,OXO,28
http://www.wikidata.org/entity/Q771553,Day of Defeat,28
http://www.wikidata.org/entity/Q747836,Halo Wars,28
http://www.wikidata.org/entity/Q1041427,The Binding of Isaac,28
http://www.wikidata.org/entity/Q22986,Amnesia The Dark Descent,28
http://www.wikidata.org/entity/Q791444,Battlefield Vietnam,28
http://www.wikidata.org/entity/Q1050833,Gears of War 3,28
http://www.wikidata.org/entity/Q296744,ARMA 2,27
http://www.wikidata.org/entity/Q367135,Dirge of Cerberus Final Fantasy VII,27
http://www.wikidata.org/entity/Q372412,Sid Meier's Alpha Centauri,27
http://www.wikidata.org/entity/Q489800,Lineage Bloodpledge,27
http://www.wikidata.org/entity/Q522508,Super Paper Mario,27
http://www.wikidata.org/entity/Q835894,japanskt bildkryss,27
http://www.wikidata.org/entity/Q750086,Stronghold Crusader,27
http://www.wikidata.org/entity/Q796916,Brothers in Arms Road to Hill 30,27
http://www.wikidata.org/entity/Q40177,Sonic Knuckles,27
http://www.wikidata.org/entity/Q374556,The Orange Box,26
http://www.wikidata.org/entity/Q324871,Titan Quest,26
http://www.wikidata.org/entity/Q17286,Mastermind,26
http://www.wikidata.org/entity/Q483919,Counter-Strike Online,26
http://www.wikidata.org/entity/Q509269,Silkroad Online,26
http://www.wikidata.org/entity/Q765103,Europa Universalis II,26
http://www.wikidata.org/entity/Q745427,Big Rigs Over the Road Racing,26
http://www.wikidata.org/entity/Q528128,Killzone 3,26
http://www.wikidata.org/entity/Q528310,Shogun Total War,26
http://www.wikidata.org/entity/Q749023,Harry Potter och fången från Azkaban,26
http://www.wikidata.org/entity/Q1043550,Ultima Online,26
http://www.wikidata.org/entity/Q1046574,Golden Axe,26
http://www.wikidata.org/entity/Q558621,New Super Mario Bros. 2,26
http://www.wikidata.org/entity/Q277377,Catherine,25
http://www.wikidata.org/entity/Q290534,Quake 4,25
http://www.wikidata.org/entity/Q1705294,Pokémon Snap,25
http://www.wikidata.org/entity/Q427337,FIFA 97,25
http://www.wikidata.org/entity/Q733561,Bulletstorm,25
http://www.wikidata.org/entity/Q754335,Command Conquer Tiberian Sun,25
http://www.wikidata.org/entity/Q739580,Assassin's Creed Bloodlines,25
http://www.wikidata.org/entity/Q743187,Mario Party 3,25
http://www.wikidata.org/entity/Q5766,VVVVVV,25
http://www.wikidata.org/entity/Q1045397,Day of Defeat Source,25
http://www.wikidata.org/entity/Q1047938,Guitar Hero III Legends of Rock,25
http://www.wikidata.org/entity/Q1051853,Cave Story,25
http://www.wikidata.org/entity/Q281110,Kingdom Hearts Birth by Sleep,24
http://www.wikidata.org/entity/Q349413,Homefront,24
http://www.wikidata.org/entity/Q384055,Microsoft Train Simulator,24
http://www.wikidata.org/entity/Q769042,Mario Party 8,24
http://www.wikidata.org/entity/Q2450,Heroes of Might and Magic V,24
http://www.wikidata.org/entity/Q1043375,Castlevania,24
http://www.wikidata.org/entity/Q1035512,Danganronpa Trigger Happy Havoc,24
http://www.wikidata.org/entity/Q796776,Half-Life Decay,24
http://www.wikidata.org/entity/Q811018,Battlefield 1943,24
http://www.wikidata.org/entity/Q1050924,Tropico,24
http://www.wikidata.org/entity/Q1051980,Unreal Tournament 3,24
http://www.wikidata.org/entity/Q304258,Empire Earth II,23
http://www.wikidata.org/entity/Q738909,Gothic 3,23
http://www.wikidata.org/entity/Q496526,Tales of Symphonia,23
http://www.wikidata.org/entity/Q791432,Battlefield Play4Free,23
http://www.wikidata.org/entity/Q532912,Heroes of Might and Magic II The Succession Wars,23
http://www.wikidata.org/entity/Q545072,Diddy Kong Racing,23
http://www.wikidata.org/entity/Q794367,Beyond Good Evil,23
http://www.wikidata.org/entity/Q565315,Slender,23
