"Rank","Name","Symbol","marketcap","price (USD)","country"
"90","Vimian Group","VIMIAN.ST","1595832262","3.0287","Sweden"
"91","Storskogen Group","STOR-B.ST","1575947149","0.938812","Sweden"
"92","Systemair AB","SYSR.ST","1549415245","7.46615","Sweden"
"93","Rusta AB","RUSTA.ST","1516689864","9.91614","Sweden"
"94","Bonesupport Holding AB","BONEX.ST","1489748551","22.6202","Sweden"
"95","Betsson AB","BETS-B.ST","1478366304","10.7398","Sweden"
"96","Afry AB","AFRY.ST","1478224643","13.0526","Sweden"
"97","Nolato AB","NOLA-B.ST","1362615301","5.05839","Sweden"
"98","Paradox Interactive","PDX.ST","1351228965","12.7929","Sweden"
"99","New Wave Group","NEWA-B.ST","1334660306","10.0587","Sweden"
"100","Vitrolife AB","VITR.ST","1326664065","9.7947","Sweden"
"101","Cibus Nordic Real Estate","CIBUS.ST","1269509085","15.4656","Sweden"
"102","Lindab International","LIAB.ST","1242251361","16.1256","Sweden"
"103","Bilia AB","BILI-A.ST","1205157110","13.0842","Sweden"
"104","Modern Times Group (MTG)","MTG-B.ST","1169390918","9.70008","Sweden"
"105","NCAB Group AB","NCAB.ST","1163446295","6.2226","Sweden"
"106","TF Bank AB","TFBANK.ST","1137555814","17.5956","Sweden"
"107","Norion Bank","NORION.ST","1120327860","5.90322","Sweden"
"108","engcon AB","ENGCON-B.ST","1061947139","6.96981","Sweden"
"109","Scandi Standard AB","SCST.ST","1054517648","16.1573","Sweden"
"110","Hemnet Group AB","HEM.ST","1026035265","11.0883","Sweden"
"111","Synsam","SYNSAM.ST","1017936078","7.17046","Sweden"
"112","Vitec Software Group","VIT-B.ST","1010650626","25.5349","Sweden"
"113","Creades AB","CRED-A.ST","974195252","7.17574","Sweden"
"114","Hanza AB","HANZA.ST","970877372","15.4603","Sweden"
"115","Dynavox Group","DYVOX.ST","963071562","9.12412","Sweden"
"116","Plejd AB","PLEJD.ST","932601825","83.4265","Sweden"
"117","Inwido AB","INWI.ST","918312728","15.8405","Sweden"
"118","Dometic Group","DOM.ST","868644749","2.71876","Sweden"
"119","JM AB","JM.ST","799719110","12.3978","Sweden"
"120","Xvivo Perfusion AB","XVIVO.ST","799012052","25.3659","Sweden"
