work,workLabel,sitelinks
http://www.wikidata.org/entity/Q848182,Jägarna,8
http://www.wikidata.org/entity/Q690428,Smala Sussie,8
http://www.wikidata.org/entity/Q2772060,En lyckoriddare,8
http://www.wikidata.org/entity/Q2758085,Tur & retur,8
http://www.wikidata.org/entity/Q401765,The Punk Syndrome,8
http://www.wikidata.org/entity/Q1456651,Tsatsiki – vänner för alltid,8
http://www.wikidata.org/entity/Q1199722,Papegojan,8
http://www.wikidata.org/entity/Q388920,En enda natt,8
http://www.wikidata.org/entity/Q806087,Bananas!*,8
http://www.wikidata.org/entity/Q10712156,Valborgsmässoafton,8
http://www.wikidata.org/entity/Q10683877,Sune i Grekland,8
http://www.wikidata.org/entity/Q15401854,Jönssonligan – Den perfekta stöten,8
http://www.wikidata.org/entity/Q15618007,Sune på bilsemester,8
http://www.wikidata.org/entity/Q10686490,Swedenhielms,8
http://www.wikidata.org/entity/Q10688400,Sången om den eldröda blomman,8
http://www.wikidata.org/entity/Q27062077,Lejonkvinnan,8
http://www.wikidata.org/entity/Q60738679,Ut och stjäla hästar,8
http://www.wikidata.org/entity/Q103997314,Sweat,8
http://www.wikidata.org/entity/Q85321396,Horizon Line,8
http://www.wikidata.org/entity/Q100699177,Andra sidan,8
http://www.wikidata.org/entity/Q101799929,Tigrar,8
http://www.wikidata.org/entity/Q114245238,Stormskärs Maja,8
http://www.wikidata.org/entity/Q116252230,Motståndaren,8
http://www.wikidata.org/entity/Q109239204,Clara Sola,8
http://www.wikidata.org/entity/Q117818579,Paradiset brinner,8
http://www.wikidata.org/entity/Q7389394,Hjärtan som mötas,7
http://www.wikidata.org/entity/Q6772836,Äktenskapsbyrån,7
http://www.wikidata.org/entity/Q6012325,I prövningens stund,7
http://www.wikidata.org/entity/Q5227929,Högfjällets dotter,7
http://www.wikidata.org/entity/Q4657113,Bra flicka reder sig själv,7
http://www.wikidata.org/entity/Q794344,Människor i stad,7
http://www.wikidata.org/entity/Q4994569,Konspiration 58,7
http://www.wikidata.org/entity/Q1761913,Könskriget,7
http://www.wikidata.org/entity/Q4373735,Nobels testamente,7
http://www.wikidata.org/entity/Q2755257,Bildmakarna,7
http://www.wikidata.org/entity/Q15056258,Hokus pokus Alfons Åberg,7
http://www.wikidata.org/entity/Q2814267,Samson & Sally,7
http://www.wikidata.org/entity/Q1762006,Mästerman,7
http://www.wikidata.org/entity/Q111902259,Clark,7
http://www.wikidata.org/entity/Q10590158,Mumindalen,7
http://www.wikidata.org/entity/Q3357839,LasseMajas detektivbyrå,7
http://www.wikidata.org/entity/Q130426564,Glaskupan,7
http://www.wikidata.org/entity/Q25338999,Tjockare än vatten,7
http://www.wikidata.org/entity/Q21994660,Gåsmamman,7
http://www.wikidata.org/entity/Q3219953,Baren,7
http://www.wikidata.org/entity/Q2008579,Kommissarie Winter,7
http://www.wikidata.org/entity/Q3505375,Skärgårdsdoktorn,7
http://www.wikidata.org/entity/Q2045501,Robin,7
http://www.wikidata.org/entity/Q4579330,Bingolotto,7
http://www.wikidata.org/entity/Q1656877,Idol,7
