work,workLabel,sitelinks
http://www.wikidata.org/entity/Q1309886,Abba – the Movie,20
http://www.wikidata.org/entity/Q1651543,Trollflöjten,20
http://www.wikidata.org/entity/Q1245864,Mifune,20
http://www.wikidata.org/entity/Q705893,Ormens ägg,20
http://www.wikidata.org/entity/Q265203,Kvinnodröm,20
http://www.wikidata.org/entity/Q196103,Bröllop i Italien,20
http://www.wikidata.org/entity/Q260365,En passion,20
http://www.wikidata.org/entity/Q19372190,Vågen,20
http://www.wikidata.org/entity/Q27590730,Borg,20
http://www.wikidata.org/entity/Q27536918,Sameblod,20
http://www.wikidata.org/entity/Q1217937,Den goda viljan,19
http://www.wikidata.org/entity/Q1141100,Saraband,19
http://www.wikidata.org/entity/Q3480269,Pelle Svanslös i Amerikatt,19
http://www.wikidata.org/entity/Q82070811,Kalifat,19
http://www.wikidata.org/entity/Q1321282,Svält,19
http://www.wikidata.org/entity/Q2299929,Submarino,19
http://www.wikidata.org/entity/Q2290980,Hets,19
http://www.wikidata.org/entity/Q1078811,Kvinnors väntan,19
http://www.wikidata.org/entity/Q463907,Till glädje,19
http://www.wikidata.org/entity/Q507285,Lumière et Compagnie,19
http://www.wikidata.org/entity/Q1559662,Gösta Berlings saga,19
http://www.wikidata.org/entity/Q259831,Det regnar på vår kärlek,19
http://www.wikidata.org/entity/Q10706553,Turist,19
http://www.wikidata.org/entity/Q23838435,Den lyckligaste dagen i Olli Mäkis liv,19
http://www.wikidata.org/entity/Q26884608,Kungens val,19
http://www.wikidata.org/entity/Q109387468,Sommar utan vår,19
http://www.wikidata.org/entity/Q7741216,Hypnotisören,18
http://www.wikidata.org/entity/Q682574,Flamman och Citronen,18
http://www.wikidata.org/entity/Q1341843,Universums änglar,18
http://www.wikidata.org/entity/Q1218226,Maria Larssons eviga ögonblick,18
http://www.wikidata.org/entity/Q1171481,Nybyggarna,18
http://www.wikidata.org/entity/Q735047,En kärlekshistoria,18
http://www.wikidata.org/entity/Q570125,I Hired a Contract Killer,18
http://www.wikidata.org/entity/Q2754899,Bohemernas liv,18
http://www.wikidata.org/entity/Q964843,"Patrik 1,5",18
http://www.wikidata.org/entity/Q1465323,Ronja Rövardotter,18
http://www.wikidata.org/entity/Q28532724,The Nile Hilton Incident,18
http://www.wikidata.org/entity/Q28047662,Tom of Finland,18
http://www.wikidata.org/entity/Q111262699,Svart krabba,18
http://www.wikidata.org/entity/Q125856483,Armand,18
http://www.wikidata.org/entity/Q131441164,The Testament of Ann Lee,18
http://www.wikidata.org/entity/Q2971575,Pippi Långstrump,17
http://www.wikidata.org/entity/Q2690883,Äkta människor,17
http://www.wikidata.org/entity/Q10427785,Bekas,17
http://www.wikidata.org/entity/Q2481529,Vingarne,17
http://www.wikidata.org/entity/Q761987,Skepp till Indialand,17
http://www.wikidata.org/entity/Q921612,Musik i mörker,17
http://www.wikidata.org/entity/Q592902,För att inte tala om alla dessa kvinnor,17
http://www.wikidata.org/entity/Q990857,Bröder,17
http://www.wikidata.org/entity/Q572931,Fängelse,17
http://www.wikidata.org/entity/Q230608,Tillsammans,17
http://www.wikidata.org/entity/Q1215150,Pippi Långstrump – starkast i världen,17
http://www.wikidata.org/entity/Q1188701,Törst,17
http://www.wikidata.org/entity/Q1091856,Sånt händer inte här,17
http://www.wikidata.org/entity/Q16635884,Fasanjägarna,17
http://www.wikidata.org/entity/Q59065557,Bergman Island,17
