company,companyLabel,sitelinks
http://www.wikidata.org/entity/Q16325128,Izettle,8
http://www.wikidata.org/entity/Q1434148,Svenska Naturskyddsföreningen,7
http://www.wikidata.org/entity/Q792486,Axfood,7
http://www.wikidata.org/entity/Q2438127,Tobii,7
http://www.wikidata.org/entity/Q4356297,Peab,7
http://www.wikidata.org/entity/Q498606,Capio,7
http://www.wikidata.org/entity/Q5491900,Scan,7
http://www.wikidata.org/entity/Q372445,Nobina,7
http://www.wikidata.org/entity/Q1129980,Thulinverken,7
http://www.wikidata.org/entity/Q1147367,Cycleurope,7
http://www.wikidata.org/entity/Q616729,Jösse Car,7
http://www.wikidata.org/entity/Q1524904,Gina Tricot,7
http://www.wikidata.org/entity/Q1554820,Gunnebo AB,7
http://www.wikidata.org/entity/Q2061879,Simbin,7
http://www.wikidata.org/entity/Q2376454,VSM Group,7
http://www.wikidata.org/entity/Q3177392,Jernhusen,7
http://www.wikidata.org/entity/Q4349016,Kappahl,7
http://www.wikidata.org/entity/Q5969349,Ica Banken,6
http://www.wikidata.org/entity/Q306810,Östgöta Enskilda Bank,6
http://www.wikidata.org/entity/Q846246,Neonode,6
http://www.wikidata.org/entity/Q1881327,Meda AB,6
http://www.wikidata.org/entity/Q3437039,Cloetta,6
http://www.wikidata.org/entity/Q931233,Cision,6
http://www.wikidata.org/entity/Q105965579,Evolution AB,6
http://www.wikidata.org/entity/Q25110345,Leovegas,6
http://www.wikidata.org/entity/Q4919709,Björn Borg AB,6
http://www.wikidata.org/entity/Q7295902,Ratos,6
http://www.wikidata.org/entity/Q270809,Åbro Bryggeri,6
http://www.wikidata.org/entity/Q287757,AB Flygindustri (Limhamn),6
http://www.wikidata.org/entity/Q1324884,Elanders,6
http://www.wikidata.org/entity/Q2535939,Väderstad AB,6
http://www.wikidata.org/entity/Q3075545,Nynas,6
http://www.wikidata.org/entity/Q6917118,Motala Verkstad,6
http://www.wikidata.org/entity/Q63993633,Kindred Group,6
http://www.wikidata.org/entity/Q10447369,Cevian Capital,6
http://www.wikidata.org/entity/Q10680532,Stockholms Hamnar,6
http://www.wikidata.org/entity/Q5290243,Dometic Group,6
http://www.wikidata.org/entity/Q5609225,Grimaldi Industri AB,6
http://www.wikidata.org/entity/Q10601972,Nordbanken,5
http://www.wikidata.org/entity/Q123255580,Qred,5
http://www.wikidata.org/entity/Q4346290,First North,5
http://www.wikidata.org/entity/Q5321644,E.ON Sverige,5
http://www.wikidata.org/entity/Q1389894,Sveaskog,5
http://www.wikidata.org/entity/Q31899338,Bookbeat,5
http://www.wikidata.org/entity/Q59348363,Readly,5
http://www.wikidata.org/entity/Q135998012,Lovable,5
http://www.wikidata.org/entity/Q10501780,G5 Entertainment,5
http://www.wikidata.org/entity/Q1165082,Jeeves,5
http://www.wikidata.org/entity/Q547133,Unique Development Studios,5
http://www.wikidata.org/entity/Q627929,Ellos,5
http://www.wikidata.org/entity/Q689176,Telelogic,5
http://www.wikidata.org/entity/Q1465210,TUI Sverige,5
http://www.wikidata.org/entity/Q1555774,AB Gustaf Ericssons Automobilfabrik,5
http://www.wikidata.org/entity/Q1564880,HMS Industrial Networks,5
http://www.wikidata.org/entity/Q1663784,Inlandsbanan AB,5
http://www.wikidata.org/entity/Q2268974,Semcon,5
http://www.wikidata.org/entity/Q2763429,Nymanbolagen,5
http://www.wikidata.org/entity/Q3333974,Mölnlycke Health Care,5
http://www.wikidata.org/entity/Q9252322,Electro World,5
http://www.wikidata.org/entity/Q4049039,Sandvik Coromant,5
http://www.wikidata.org/entity/Q10660269,Fortum Waste Solutions Oy,5
http://www.wikidata.org/entity/Q11977084,Industrivärden,5
http://www.wikidata.org/entity/Q4834519,BAE Systems AB,5
http://www.wikidata.org/entity/Q5389052,Eriksbergs Mekaniska Verkstad,5
http://www.wikidata.org/entity/Q10604252,Nya Banken,4
http://www.wikidata.org/entity/Q3439639,Sveriges Kreditbank,4
http://www.wikidata.org/entity/Q15229319,Coop Butiker & Stormarknader,4
http://www.wikidata.org/entity/Q671398,ArjoHuntleigh,4
http://www.wikidata.org/entity/Q1526778,Niscayah,4
http://www.wikidata.org/entity/Q4033772,Alliance Oil,4
http://www.wikidata.org/entity/Q4573584,Skistar,4
http://www.wikidata.org/entity/Q10536452,Inwido,4
http://www.wikidata.org/entity/Q4781778,Carasent,4
http://www.wikidata.org/entity/Q6060753,Investment AB Latour,4
http://www.wikidata.org/entity/Q7302454,Recipharm,4
http://www.wikidata.org/entity/Q52592,Stora AB,4
http://www.wikidata.org/entity/Q165485,IBX,4
http://www.wikidata.org/entity/Q54074,TGOJ,4
http://www.wikidata.org/entity/Q271046,Ålö AB,4
http://www.wikidata.org/entity/Q337274,Academic Work,4
http://www.wikidata.org/entity/Q1812707,Svensk Etanolkemi,4
http://www.wikidata.org/entity/Q544675,Svenska Varv,4
http://www.wikidata.org/entity/Q820324,Bergsunds Mekaniska Verkstad,4
http://www.wikidata.org/entity/Q7899151,UL,4
http://www.wikidata.org/entity/Q10403979,Akelius Fastigheter AB,4
http://www.wikidata.org/entity/Q10511064,Gustaf Kähr,4
http://www.wikidata.org/entity/Q10511072,Gustaf Nordbergs Vagnfabrik AB,4
http://www.wikidata.org/entity/Q10577954,Maskinfabriks-aktiebolaget Scania,4
http://www.wikidata.org/entity/Q10624540,Perstorp AB,4
http://www.wikidata.org/entity/Q9346094,Storebro Bruk,4
http://www.wikidata.org/entity/Q18449475,Trustly,4
http://www.wikidata.org/entity/Q10673641,Sonab,4
http://www.wikidata.org/entity/Q10720214,Willys,4
http://www.wikidata.org/entity/Q16497393,Atelier Jaeger,4
http://www.wikidata.org/entity/Q5359871,Elfa International,4
http://www.wikidata.org/entity/Q61650427,Voi Technology,4
http://www.wikidata.org/entity/Q1705886,Skandinaviska Banken,3
http://www.wikidata.org/entity/Q10444868,Centrala Flygverkstaden Västerås,3
http://www.wikidata.org/entity/Q10659490,Serneke,3
http://www.wikidata.org/entity/Q1720588,SMU Scout,3
http://www.wikidata.org/entity/Q18450544,Fria Ligan,3
http://www.wikidata.org/entity/Q2105853,PKbanken,3
http://www.wikidata.org/entity/Q2371622,Svenska Scoutförbundet,3
http://www.wikidata.org/entity/Q56406432,Lea Bank,3
http://www.wikidata.org/entity/Q64853444,Morrow Bank,3
http://www.wikidata.org/entity/Q27016811,Noba Bank Group,3
http://www.wikidata.org/entity/Q862811,Billerud AB,3
http://www.wikidata.org/entity/Q2264039,Sectra,3
http://www.wikidata.org/entity/Q124485408,Connecting Stockholm,3
http://www.wikidata.org/entity/Q4350711,Bambuser,3
http://www.wikidata.org/entity/Q137322965,ChromaWay,3
http://www.wikidata.org/entity/Q10611363,Orexo,3
http://www.wikidata.org/entity/Q22077794,Sinch,3
http://www.wikidata.org/entity/Q4914620,BioGaia,3
http://www.wikidata.org/entity/Q5028809,Camurus AB,3
http://www.wikidata.org/entity/Q287717,AB Atlas,3
http://www.wikidata.org/entity/Q287797,Motorfabriken i Göteborg,3
http://www.wikidata.org/entity/Q676029,AB Arlövs Mekaniska Verkstad och Waggonfabrik,3
http://www.wikidata.org/entity/Q795822,Berg Propulsion,3
http://www.wikidata.org/entity/Q1560457,Allvelo,3
http://www.wikidata.org/entity/Q1750536,KMT Precision Grinding,3
http://www.wikidata.org/entity/Q2099059,Playsam,3
http://www.wikidata.org/entity/Q2371834,Svetruck,3
http://www.wikidata.org/entity/Q7405467,Salming Sports,3
http://www.wikidata.org/entity/Q8847140,Extralives,3
http://www.wikidata.org/entity/Q10418038,Arkiv Digital,3
http://www.wikidata.org/entity/Q10424032,Babybjörn,3
http://www.wikidata.org/entity/Q10509721,Gränges,3
http://www.wikidata.org/entity/Q10535326,Indutrade,3
http://www.wikidata.org/entity/Q10601542,Nobina Sverige,3
http://www.wikidata.org/entity/Q10616765,Papyrus (företag),3
http://www.wikidata.org/entity/Q19060144,Elektraverken,3
http://www.wikidata.org/entity/Q10697655,Ticket Travel Group,3
http://www.wikidata.org/entity/Q5157869,Comviq,3
http://www.wikidata.org/entity/Q138500903,Mister York,3
http://www.wikidata.org/entity/Q30295926,Tacton Systems,3
http://www.wikidata.org/entity/Q10408304,Svea Bank,2
http://www.wikidata.org/entity/Q10416913,Arbetarringens bank,2
http://www.wikidata.org/entity/Q10433394,Borås enskilda bank,2
