character,characterLabel,sitelinks
http://www.wikidata.org/entity/Q9351,Pikachu,82
http://www.wikidata.org/entity/Q126916,Minerva,82
http://www.wikidata.org/entity/Q132543,Diana,82
http://www.wikidata.org/entity/Q102561,Sisyfos,81
http://www.wikidata.org/entity/Q108419,Rhea,81
http://www.wikidata.org/entity/Q11936,Mimmi Pigg,80
http://www.wikidata.org/entity/Q180627,Lilit,80
http://www.wikidata.org/entity/Q179256,Narkissos,80
http://www.wikidata.org/entity/Q130890,Oidipus,80
http://www.wikidata.org/entity/Q12871,Simon Ivraren,80
http://www.wikidata.org/entity/Q1647325,Freja,80
http://www.wikidata.org/entity/Q43675,Filippos,79
http://www.wikidata.org/entity/Q171724,Daniel,79
http://www.wikidata.org/entity/Q214648,Simson,79
http://www.wikidata.org/entity/Q185498,Lucifer,79
http://www.wikidata.org/entity/Q394867,Agni,79
http://www.wikidata.org/entity/Q161419,Okeanos,79
http://www.wikidata.org/entity/Q190679,Captain America,79
http://www.wikidata.org/entity/Q179575,Ahura Mazda,78
http://www.wikidata.org/entity/Q165170,Europa,78
http://www.wikidata.org/entity/Q23168,Minos,78
http://www.wikidata.org/entity/Q133343,Hathor,78
http://www.wikidata.org/entity/Q131585,Selene,78
http://www.wikidata.org/entity/Q134270,Helios,78
http://www.wikidata.org/entity/Q4640,Vulcanus,78
http://www.wikidata.org/entity/Q173998,Ron Weasley,77
http://www.wikidata.org/entity/Q188676,Garuda,77
http://www.wikidata.org/entity/Q176132,Lord Voldemort,76
http://www.wikidata.org/entity/Q170241,Tarzan,76
http://www.wikidata.org/entity/Q131346,Pandora,76
http://www.wikidata.org/entity/Q28730,Saul,76
http://www.wikidata.org/entity/Q179962,Job,76
http://www.wikidata.org/entity/Q206238,Elisha,76
http://www.wikidata.org/entity/Q185790,Arjuna,76
http://www.wikidata.org/entity/Q51664,Isa,76
http://www.wikidata.org/entity/Q131795,Set,76
http://www.wikidata.org/entity/Q5011,Amor,76
http://www.wikidata.org/entity/Q152262,Pluto,76
http://www.wikidata.org/entity/Q133147,Loke,76
http://www.wikidata.org/entity/Q49658,Loch Ness-odjuret,75
http://www.wikidata.org/entity/Q40574,Lot,75
http://www.wikidata.org/entity/Q2468262,Yunus,75
http://www.wikidata.org/entity/Q107626,Set,75
http://www.wikidata.org/entity/Q200637,Jafet,75
http://www.wikidata.org/entity/Q129106,Bastet,75
http://www.wikidata.org/entity/Q193849,Avalokiteśvara,75
http://www.wikidata.org/entity/Q107190,Peter Pan,74
http://www.wikidata.org/entity/Q174353,Orfeus,74
http://www.wikidata.org/entity/Q34041,Ikaros,74
http://www.wikidata.org/entity/Q183403,Ismael,74
http://www.wikidata.org/entity/Q159168,Themis,74
http://www.wikidata.org/entity/Q32102,Ceres,74
http://www.wikidata.org/entity/Q131171,Imhotep,74
http://www.wikidata.org/entity/Q146921,Thot,74
http://www.wikidata.org/entity/Q131087,valkyria,74
http://www.wikidata.org/entity/Q186350,Fadern,73
http://www.wikidata.org/entity/Q161582,Andromeda,73
http://www.wikidata.org/entity/Q174278,Medea,73
http://www.wikidata.org/entity/Q176758,Jason,73
http://www.wikidata.org/entity/Q200902,Sem,73
http://www.wikidata.org/entity/Q229702,Ham,73
http://www.wikidata.org/entity/Q455602,Amaterasu,73
http://www.wikidata.org/entity/Q590467,Baal,72
http://www.wikidata.org/entity/Q3678579,Jehova,72
http://www.wikidata.org/entity/Q174546,Antikrist,72
http://www.wikidata.org/entity/Q159666,Hektor,72
http://www.wikidata.org/entity/Q182790,Chimära,72
http://www.wikidata.org/entity/Q6577515,Samuel,72
http://www.wikidata.org/entity/Q131203,Nyx,72
http://www.wikidata.org/entity/Q167646,Paris,71
http://www.wikidata.org/entity/Q170379,Hydra,71
http://www.wikidata.org/entity/Q7734,Josua,71
http://www.wikidata.org/entity/Q101322,Tartaros,71
http://www.wikidata.org/entity/Q165023,Nike,71
http://www.wikidata.org/entity/Q178417,Eos,71
http://www.wikidata.org/entity/Q30908,Wilhelm Tell,70
http://www.wikidata.org/entity/Q187002,Baba-Jaga,70
http://www.wikidata.org/entity/Q202857,Jack Sparrow,70
http://www.wikidata.org/entity/Q131588,Ganymedes,70
http://www.wikidata.org/entity/Q190123,Marduk,70
http://www.wikidata.org/entity/Q167685,Janus,70
http://www.wikidata.org/entity/Q176772,Severus Snape,69
http://www.wikidata.org/entity/Q146313,Sebek,69
http://www.wikidata.org/entity/Q193461,Maitreya,69
http://www.wikidata.org/entity/Q766677,Jahve,69
http://www.wikidata.org/entity/Q134756,Daidalos,69
http://www.wikidata.org/entity/Q170779,Kassandra,69
http://www.wikidata.org/entity/Q171839,Menelaos,69
http://www.wikidata.org/entity/Q313421,Abel,69
http://www.wikidata.org/entity/Q131654,Frigg,69
http://www.wikidata.org/entity/Q132582,Pan,69
http://www.wikidata.org/entity/Q201261,Orion,69
http://www.wikidata.org/entity/Q56951,Rafael,69
http://www.wikidata.org/entity/Q199796,Karl-Alfred,68
http://www.wikidata.org/entity/Q217533,Jokern,68
http://www.wikidata.org/entity/Q5480,Bart Simpson,68
http://www.wikidata.org/entity/Q51730,Yoda,68
http://www.wikidata.org/entity/Q177499,Gandalf,68
http://www.wikidata.org/entity/Q183102,Snurre Sprätt,68
http://www.wikidata.org/entity/Q131575,Hekate,68
http://www.wikidata.org/entity/Q204418,Surya,68
http://www.wikidata.org/entity/Q163920,Adonis,68
http://www.wikidata.org/entity/Q131658,Balder,68
http://www.wikidata.org/entity/Q44020,Mattias,67
http://www.wikidata.org/entity/Q205365,Kain,67
http://www.wikidata.org/entity/Q102884,Mnemosyne,67
http://www.wikidata.org/entity/Q103107,Leto,67
http://www.wikidata.org/entity/Q146321,Ptah,67
http://www.wikidata.org/entity/Q191114,Sita,67
http://www.wikidata.org/entity/Q273101,Iblis,67
http://www.wikidata.org/entity/Q169040,Neftys,66
http://www.wikidata.org/entity/Q170534,Hercule Poirot,66
http://www.wikidata.org/entity/Q192785,Goljat,66
http://www.wikidata.org/entity/Q6502703,Pinocchio,66
http://www.wikidata.org/entity/Q184216,Tethys,66
