game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q244033,Diablo II,44
http://www.wikidata.org/entity/Q380918,Q380918,44
http://www.wikidata.org/entity/Q12147068,Call of Duty: Ghosts,44
http://www.wikidata.org/entity/Q23013817,Q23013817,44
http://www.wikidata.org/entity/Q30015130,Far Cry 5,44
http://www.wikidata.org/entity/Q61478103,Apex Legends,44
http://www.wikidata.org/entity/Q220960,Q220960,43
http://www.wikidata.org/entity/Q34869,Q34869,43
http://www.wikidata.org/entity/Q271062,Age of Mythology,43
http://www.wikidata.org/entity/Q308961,Call of Duty 3,43
http://www.wikidata.org/entity/Q752835,Silent Hill 2,43
http://www.wikidata.org/entity/Q317620,Q317620,43
http://www.wikidata.org/entity/Q791454,Battlefield 3,43
http://www.wikidata.org/entity/Q368286,Sid Meier's Civilization,43
http://www.wikidata.org/entity/Q677351,Assassin's Creed: Brotherhood,43
http://www.wikidata.org/entity/Q16743064,Q16743064,43
http://www.wikidata.org/entity/Q2385,Civilization V,42
http://www.wikidata.org/entity/Q213911,The Legend of Zelda: Ocarina of Time,42
http://www.wikidata.org/entity/Q214142,Kampen om Wesnoth,42
http://www.wikidata.org/entity/Q215861,S.T.A.L.K.E.R.: Shadow of Chernobyl,42
http://www.wikidata.org/entity/Q223381,Final Fantasy X,42
http://www.wikidata.org/entity/Q245006,Final Fantasy VIII,42
http://www.wikidata.org/entity/Q275960,Mass Effect,42
http://www.wikidata.org/entity/Q287637,The Witcher,42
http://www.wikidata.org/entity/Q822849,Canis Canem Edit,42
http://www.wikidata.org/entity/Q838707,Q838707,42
http://www.wikidata.org/entity/Q718448,Q718448,42
http://www.wikidata.org/entity/Q471803,Rome: Total War,42
http://www.wikidata.org/entity/Q472909,Q472909,42
http://www.wikidata.org/entity/Q1248594,Resident Evil,42
http://www.wikidata.org/entity/Q20155528,Horizon Zero Dawn,42
http://www.wikidata.org/entity/Q37123,Sonic the Hedgehog,41
http://www.wikidata.org/entity/Q237484,Crysis,41
http://www.wikidata.org/entity/Q247210,Q247210,41
http://www.wikidata.org/entity/Q782919,Spacewar!,41
http://www.wikidata.org/entity/Q733992,Q733992,41
http://www.wikidata.org/entity/Q739654,Assassin's Creed: Revelations,41
http://www.wikidata.org/entity/Q648099,Grand Theft Auto Advance,41
http://www.wikidata.org/entity/Q854479,Super Mario Bros. 2,41
http://www.wikidata.org/entity/Q725057,Mass Effect 2,41
http://www.wikidata.org/entity/Q1757876,Tomb Raider,41
http://www.wikidata.org/entity/Q6497116,Q6497116,41
http://www.wikidata.org/entity/Q8262784,Hearthstone,41
http://www.wikidata.org/entity/Q13427106,Q13427106,41
http://www.wikidata.org/entity/Q17618314,Five Nights at Freddy's,41
http://www.wikidata.org/entity/Q18149274,Q18149274,41
http://www.wikidata.org/entity/Q18149495,Cuphead,41
http://www.wikidata.org/entity/Q21246348,Q21246348,41
http://www.wikidata.org/entity/Q99397854,Hogwarts Legacy,41
http://www.wikidata.org/entity/Q22329209,Alphago,41
http://www.wikidata.org/entity/Q17146,Q17146,40
http://www.wikidata.org/entity/Q176336,Far Cry 2,40
http://www.wikidata.org/entity/Q1166232,Dark Souls,40
http://www.wikidata.org/entity/Q2618557,Battlefield 4,40
http://www.wikidata.org/entity/Q2625075,Q2625075,40
http://www.wikidata.org/entity/Q18536861,Life Is Strange,40
http://www.wikidata.org/entity/Q24050047,Civilization VI,40
http://www.wikidata.org/entity/Q94871,Grand Theft Auto: Chinatown Wars,39
http://www.wikidata.org/entity/Q170489,Super Mario Galaxy,39
http://www.wikidata.org/entity/Q126194,Minröj,39
http://www.wikidata.org/entity/Q137802,Halo 3,39
http://www.wikidata.org/entity/Q203310,Q203310,39
http://www.wikidata.org/entity/Q207885,Warcraft: Orcs & Humans,39
http://www.wikidata.org/entity/Q739784,Q739784,39
http://www.wikidata.org/entity/Q327594,Final Fantasy XII,39
http://www.wikidata.org/entity/Q601050,Resident Evil 5,39
