artist,artistLabel,sitelinks
http://www.wikidata.org/entity/Q254527,Monica Zetterlund,27
http://www.wikidata.org/entity/Q317488,Anders Fridén,26
http://www.wikidata.org/entity/Q286501,Shellback,26
http://www.wikidata.org/entity/Q446635,Nicolai Gedda,26
http://www.wikidata.org/entity/Q16775487,David Sandberg,26
http://www.wikidata.org/entity/Q255967,Lena Nyman,26
http://www.wikidata.org/entity/Q455625,Evert Taube,25
http://www.wikidata.org/entity/Q435398,Eagle-Eye Cherry,25
http://www.wikidata.org/entity/Q449763,Stikkan Anderson,25
http://www.wikidata.org/entity/Q955209,Tomas Ledin,25
http://www.wikidata.org/entity/Q361286,Prins Gustaf av Sverige och Norge,25
http://www.wikidata.org/entity/Q1373742,Johan Renck,25
http://www.wikidata.org/entity/Q317481,Jesper Strömblad,25
http://www.wikidata.org/entity/Q262942,Lill Lindfors,24
http://www.wikidata.org/entity/Q262921,Anita Skorgan,24
http://www.wikidata.org/entity/Q464204,Sofia Jannok,24
http://www.wikidata.org/entity/Q714167,Björn Skifs,24
http://www.wikidata.org/entity/Q615625,Alexander Bard,24
http://www.wikidata.org/entity/Q366614,Peter Tägtgren,24
http://www.wikidata.org/entity/Q434931,Eduard Tubin,24
http://www.wikidata.org/entity/Q440388,Kurt Atterberg,24
http://www.wikidata.org/entity/Q4170757,Yohio,24
http://www.wikidata.org/entity/Q925877,Gösta Ekman,24
http://www.wikidata.org/entity/Q920220,Tommy Körberg,24
http://www.wikidata.org/entity/Q689823,Army of Lovers,23
http://www.wikidata.org/entity/Q64164,Lisa Ekdahl,23
http://www.wikidata.org/entity/Q236505,Lisa Miskovsky,23
http://www.wikidata.org/entity/Q260597,Veronica Maggio,23
http://www.wikidata.org/entity/Q373669,Michael Amott,23
http://www.wikidata.org/entity/Q433733,Esbjörn Svensson,23
http://www.wikidata.org/entity/Q451495,Elfrida Andrée,23
http://www.wikidata.org/entity/Q2359734,Jenny Berggren,23
http://www.wikidata.org/entity/Q708911,Bernhard Crusell,23
http://www.wikidata.org/entity/Q510973,Ingvar Wixell,23
http://www.wikidata.org/entity/Q521623,Ola Rapace,23
http://www.wikidata.org/entity/Q313202,Herbert Blomstedt,23
http://www.wikidata.org/entity/Q297842,Anna Sahlin,23
http://www.wikidata.org/entity/Q468499,Tuva Novotny,23
http://www.wikidata.org/entity/Q508614,Inger Berggren,23
http://www.wikidata.org/entity/Q1078507,Christer Björkman,23
http://www.wikidata.org/entity/Q18606122,Lisa Ajax,23
http://www.wikidata.org/entity/Q16159216,Alba August,23
http://www.wikidata.org/entity/Q541180,Linda Lampenius,23
http://www.wikidata.org/entity/Q182352,Jens Johansson,22
http://www.wikidata.org/entity/Q446588,Eva Dahlgren,22
http://www.wikidata.org/entity/Q502896,John Norum,22
http://www.wikidata.org/entity/Q55433897,Bladee,22
http://www.wikidata.org/entity/Q742191,Prins August av Sverige och Norge,22
http://www.wikidata.org/entity/Q5587019,Joakim Brodén,22
http://www.wikidata.org/entity/Q21683226,Dotter,22
http://www.wikidata.org/entity/Q61742923,Omar Rudberg,22
http://www.wikidata.org/entity/Q959829,Robert Z'Dar,22
http://www.wikidata.org/entity/Q2732409,Shirley Clamp,22
http://www.wikidata.org/entity/Q19612750,Lindemann,21
http://www.wikidata.org/entity/Q454567,Tove Styrke,21
http://www.wikidata.org/entity/Q264921,Allan Edwall,21
http://www.wikidata.org/entity/Q435688,Wilhelm Stenhammar,21
http://www.wikidata.org/entity/Q7587791,Noonie Bao,21
http://www.wikidata.org/entity/Q18237389,AronChupa,21
http://www.wikidata.org/entity/Q13372581,Kim Cesarion,21
http://www.wikidata.org/entity/Q3374548,Anna von Hausswolff,21
http://www.wikidata.org/entity/Q457339,Lina Sandell,21
