person,personLabel,sitelinks
http://www.wikidata.org/entity/Q5938668,Sam Larsson,23
http://www.wikidata.org/entity/Q16159216,Alba August,23
http://www.wikidata.org/entity/Q13604261,Jessica Wik,23
http://www.wikidata.org/entity/Q19368627,Anna Magnusson,23
http://www.wikidata.org/entity/Q18606122,Lisa Ajax,23
http://www.wikidata.org/entity/Q27895096,Anna Anvegård,23
http://www.wikidata.org/entity/Q47125782,Martin Ponsiluoma,23
http://www.wikidata.org/entity/Q38579198,Prins Gabriel,23
http://www.wikidata.org/entity/Q50411737,Prinsessan Adrienne,23
http://www.wikidata.org/entity/Q83699517,Truls Möregårdh,23
http://www.wikidata.org/entity/Q751101,Astrit Ajdarević,22
http://www.wikidata.org/entity/Q553464,Sebastian Andersson,22
http://www.wikidata.org/entity/Q2117450,Alexander Milošević,22
http://www.wikidata.org/entity/Q15931521,Sandra Näslund,22
http://www.wikidata.org/entity/Q20735447,Rebecka Blomqvist,22
http://www.wikidata.org/entity/Q20735460,Nathalie Björn,22
http://www.wikidata.org/entity/Q21675865,Jesper Nelin,22
http://www.wikidata.org/entity/Q20969826,Perseus Karlström,22
http://www.wikidata.org/entity/Q22338719,Isabelle Haak,22
http://www.wikidata.org/entity/Q24450680,Madelen Janogy,22
http://www.wikidata.org/entity/Q29318963,Gabriel Gudmundsson,22
http://www.wikidata.org/entity/Q34998110,Simon Pettersson,22
http://www.wikidata.org/entity/Q55433897,Bladee,22
http://www.wikidata.org/entity/Q61742923,Omar Rudberg,22
http://www.wikidata.org/entity/Q77027339,Hanna Bennison,22
http://www.wikidata.org/entity/Q105127935,Isak Hien,22
http://www.wikidata.org/entity/Q715421,Gabriel Landeskog,21
http://www.wikidata.org/entity/Q1390668,Oliver Ekman Larsson,21
http://www.wikidata.org/entity/Q454567,Tove Styrke,21
http://www.wikidata.org/entity/Q1894251,Marcus Krüger,21
http://www.wikidata.org/entity/Q499792,Andreas Nilsson,21
http://www.wikidata.org/entity/Q1342780,Simon Thern,21
http://www.wikidata.org/entity/Q4776034,Anton Tinnerholm,21
http://www.wikidata.org/entity/Q5765727,Jim Gottfridsson,21
http://www.wikidata.org/entity/Q7155030,Pauline Rubin,21
http://www.wikidata.org/entity/Q11355490,Pa Konate,21
http://www.wikidata.org/entity/Q6256743,Ludvig Öhman,21
http://www.wikidata.org/entity/Q10404987,Alexander Fransson,21
http://www.wikidata.org/entity/Q15613738,Mona Brorsson,21
http://www.wikidata.org/entity/Q13372581,Kim Cesarion,21
http://www.wikidata.org/entity/Q17418708,Kelly Gale,21
http://www.wikidata.org/entity/Q15742572,Sebastian Holmén,21
http://www.wikidata.org/entity/Q18237389,AronChupa,21
http://www.wikidata.org/entity/Q18352185,Andreas Linde,21
http://www.wikidata.org/entity/Q20735435,Filippa Angeldal,21
http://www.wikidata.org/entity/Q19904159,Sead Haksabanovic,21
http://www.wikidata.org/entity/Q20788534,Mikael Ymer,21
http://www.wikidata.org/entity/Q27839454,Rasmus Dahlin,21
http://www.wikidata.org/entity/Q84316706,Theodor Haraldsson,21
http://www.wikidata.org/entity/Q440192,Angelica Bengtsson,20
http://www.wikidata.org/entity/Q525338,Jakob Silfverberg,20
http://www.wikidata.org/entity/Q940818,Nicklas Bärkroth,20
http://www.wikidata.org/entity/Q4665483,Abdul Khalili,20
http://www.wikidata.org/entity/Q6179550,Valter Skarsgård,20
http://www.wikidata.org/entity/Q10544852,Ken Sema,20
http://www.wikidata.org/entity/Q15718503,Muamer Tanković,20
http://www.wikidata.org/entity/Q13581457,André Burakovsky,20
http://www.wikidata.org/entity/Q16467587,Linus Wahlqvist,20
http://www.wikidata.org/entity/Q19773157,Joakim Nilsson,20
http://www.wikidata.org/entity/Q18594992,Peppe Femling,20
http://www.wikidata.org/entity/Q24450560,Jennifer Falk,20
http://www.wikidata.org/entity/Q22704146,Wiktoria Johansson,20
http://www.wikidata.org/entity/Q28468134,Walter Wallberg,20
http://www.wikidata.org/entity/Q27654739,Dennis Hadzikadunic,20
http://www.wikidata.org/entity/Q30325770,Oliver Solberg,20
http://www.wikidata.org/entity/Q28843672,Felix Sandman,20
http://www.wikidata.org/entity/Q28911572,Pontus Dahlberg,20
http://www.wikidata.org/entity/Q66843837,Emil Holm,20
http://www.wikidata.org/entity/Q133861231,Felicia Eriksson,20
