word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
akelius fastigheter ab,company,4.000000,4.000000,0.000000,true,0.524849,0.565940,-1.017846,0.155302,0.292600,0.101325,0.041018,0.233240,-0.081547,-0.361891,-0.302528,0.790523,0.172493,-0.714993,-0.084881,-0.454593,0.099105,0.199153,-0.082196,-0.264270,0.093498,-0.125882,0.027003,0.102700,0.227124,0.158696,-0.115803,-0.311352,-0.377961,-0.268589,0.266508,0.272068,0.252971,0.075214,-0.166574,0.111543,-0.102688,0.049278,0.054044,0.131015,0.119741,-0.193754,0.026611,-0.242719,0.172866,-0.177218,-0.101738,0.306781,0.121615,0.011778,-0.107623,-0.070221,-0.093357,0.235319,0.076103,-0.001211,0.242160,-0.025530,0.247400,0.287269,-0.307285,0.025786,0.034812,-0.047151,-0.162557,0.072874,-0.007818,-0.101709,0.063814,-0.183969,0.185265,0.106245,0.076202,-0.081549,0.100310,0.228215,-0.002987,0.072945,-0.041685,-0.086133,0.003242,0.248035,-0.024909,0.090450,0.309642,-0.177321,-0.317414,0.287210,-0.147150,-0.170473,-0.013854,-0.091367,-0.420812,-0.258656,0.211658,-0.039265,-0.155111,-0.203892,0.048635,-0.025842
gustaf kähr,company,4.000000,4.000000,0.000000,true,-1.326284,1.349395,0.022678,0.115699,0.437873,-0.346986,-0.635484,0.534497,0.108066,0.039556,0.380584,0.299190,-0.008250,-0.151205,-0.251391,-0.085964,0.257306,-0.446826,0.223682,-0.254746,-0.145387,-0.288805,-0.372928,0.118641,0.034214,-0.036734,-0.051666,0.317983,-0.074743,0.264861,0.059023,0.364664,0.197606,0.220271,0.107726,-0.251093,-0.349956,-0.059826,0.180807,-0.118707,0.084169,-0.029649,0.165565,-0.015001,-0.255233,-0.318978,0.013997,-0.000758,-0.092793,0.138015,0.121585,0.083175,-0.120333,-0.024005,0.215348,0.059843,0.157546,-0.102807,-0.205090,-0.156171,0.084079,-0.061997,-0.325752,-0.060931,0.176303,0.188735,-0.418407,0.302617,-0.018214,0.040230,0.349198,0.038967,-0.058719,0.475811,0.526584,-0.077640,0.087655,-0.180244,-0.056664,-0.050775,-0.162436,0.214266,0.066500,-0.174701,-0.085898,0.270143,-0.166690,-0.362970,-0.013412,-0.198373,0.331508,0.069504,0.166276,0.131829,-0.142809,0.402582,-0.403683,-0.497521,0.144578,-0.122219
skagerberg,company,1.000000,0.383029,0.000000,false,-1.298279,1.173900,0.413348,0.091581,0.866392,-0.318319,-0.410923,0.261020,-0.041447,0.457677,0.629083,0.593851,-0.297246,-0.079381,0.266813,0.074129,0.208348,0.126449,-0.024349,0.142983,-0.209055,0.168183,-0.211890,0.153626,-0.360089,0.045536,0.057976,0.125484,0.140875,-0.067917,-0.396801,0.320957,0.190038,-0.127421,0.024355,-0.498032,-0.497333,0.115762,0.165847,-0.001935,0.161236,0.216784,0.253377,0.113084,-0.581094,-0.083923,0.161358,-0.229142,0.115963,-0.076933,0.021833,0.075984,-0.281785,0.133532,-0.181490,0.248513,-0.175623,-0.202963,-0.165004,0.105740,0.497939,-0.329733,-0.446899,0.217359,-0.369605,-0.085088,0.001648,-0.365474,-0.281968,0.283263,-0.153315,-0.100677,-0.299690,0.382364,0.122585,0.420056,-0.204074,-0.317042,-0.009740,-0.044866,0.103240,-0.221583,0.183088,-0.355205,-0.256104,-0.250617,-0.130949,0.037128,-0.101573,0.079890,0.124702,-0.020620,0.141682,0.238679,0.178465,0.012761,-0.074719,-0.029004,-0.092184,-0.226937
miällby,company,1.000000,0.373313,0.000000,false,-1.272848,1.476165,-0.543869,0.342908,-0.271816,-0.751066,-1.116946,0.253273,0.499814,-0.917937,0.298813,-0.863903,1.313948,0.128242,-0.843558,-1.015287,-0.329346,-0.075546,0.571998,-0.154058,-0.919986,-0.850544,0.198096,-0.184184,-0.429338,0.403677,-0.301814,0.602587,-0.168134,0.135609,0.565334,0.114057,0.183844,-0.319208,-0.364443,-0.483207,-0.117296,0.307923,-0.010911,-0.345297,0.331697,-0.538105,-0.400234,-0.680762,-0.310635,-0.310961,-0.117277,-0.530984,-0.065196,0.320597,-0.181234,0.381818,-0.445457,-0.136357,-0.258612,0.134155,0.250790,-0.127127,0.008300,0.068449,0.315004,0.092232,-0.635809,0.314710,-0.418538,-0.340849,0.020451,-0.331411,-0.154290,0.578113,0.539393,-0.217686,-0.180218,0.464929,-0.040478,0.171321,-0.041737,-0.536032,-0.161727,0.236385,-0.232563,-0.142663,-0.121006,-0.146820,-0.440022,0.318830,0.311868,-0.053176,-0.113105,0.214382,0.475121,0.362232,0.002144,-0.236300,-0.152243,-0.022965,0.046536,-0.343001,0.153875,-0.030490
gustaf nordbergs vagnfabrik ab,company,4.000000,4.000000,0.000000,true,-0.310503,0.397067,-0.041207,0.059652,0.542523,-0.158945,-0.526720,0.109730,-0.137503,-0.185626,-0.160196,0.250177,-0.205138,-0.218694,0.006192,-0.044872,0.057527,0.036783,0.006945,-0.239384,-0.130660,-0.224776,-0.111118,0.217362,0.272536,0.168147,0.146892,0.043744,-0.147877,0.110941,0.131123,0.057028,-0.082637,0.150074,0.091055,-0.173339,0.096779,0.013675,-0.010645,-0.089861,-0.043685,0.063964,0.031241,-0.089639,-0.042753,-0.152107,0.169884,0.045390,-0.147513,0.006254,0.110105,0.055360,0.019819,-0.170531,0.167669,0.025371,0.143913,0.110850,-0.151274,0.219749,-0.127678,-0.133583,-0.183921,-0.150889,0.113071,-0.113486,-0.302545,-0.073607,0.066601,0.110072,-0.027359,-0.195870,-0.069158,-0.012297,0.188303,-0.062732,0.112744,0.000675,-0.153609,-0.055002,-0.041778,0.116328,-0.002080,-0.044209,0.113441,0.154164,-0.020695,-0.352696,-0.182051,-0.064080,-0.044546,-0.079911,0.009891,-0.107060,0.012889,0.229354,-0.185089,-0.078655,-0.075886,0.007337
stjärnholm,company,1.000000,0.373439,0.000000,false,-0.671042,0.847584,-0.192901,0.713541,1.264658,-0.218392,-0.486923,0.514272,0.384967,-0.162371,0.255166,-0.189795,-1.043640,0.042356,-0.159034,-0.098716,-0.476263,-0.012004,0.322834,-0.079524,-0.299571,0.435685,0.438382,-0.057058,-0.349604,0.210275,0.340233,-0.142125,0.206765,-0.045056,-0.055493,0.006290,0.423518,0.232326,-0.303423,-0.429676,0.028833,0.046934,-0.113504,-0.255744,-0.164110,0.026151,0.020599,0.200598,-0.149938,-0.472362,-0.121060,-0.015360,-0.151934,-0.322919,-0.213571,0.543209,0.241664,0.008944,0.031535,0.420950,0.097123,0.248428,-0.057139,-0.050696,-0.062769,0.005970,-0.161927,-0.501631,-0.086205,-0.021991,-0.405096,-0.433323,0.272888,0.029954,-0.083626,-0.072535,-0.369776,-0.357075,0.045475,-0.116179,0.085075,-0.135427,0.042353,0.147485,0.331177,-0.181750,-0.477718,-0.141205,0.127407,-0.642346,0.109429,-0.256667,0.063327,-0.078341,-0.336370,-0.263098,-0.261090,0.062954,-0.294918,-0.218894,-0.092116,0.116218,-0.205199,0.136764
maskinfabriks-aktiebolaget scania,company,4.000000,4.000000,0.000000,true,0.323555,0.504607,-1.387171,0.053714,0.346161,-0.126890,-0.118487,0.271858,-0.304490,-0.303821,-0.591281,0.516107,0.030345,0.049880,-0.085443,-0.121925,0.311459,0.144904,0.080754,-0.322092,0.048357,-0.335376,0.540605,-0.274795,0.257718,0.295946,0.292310,-0.064563,-0.251931,0.298013,-0.070269,0.085650,-0.000273,-0.083925,0.049833,-0.336751,-0.033067,-0.190342,0.147422,0.101621,-0.153061,0.073428,0.080169,0.159360,-0.234094,-0.034625,0.166769,-0.029138,0.111010,-0.072900,-0.220671,-0.038212,-0.009137,-0.005960,0.038133,-0.088908,0.107385,0.102742,0.027172,0.256085,0.000028,-0.099032,-0.046756,-0.107724,-0.100933,0.136346,-0.140481,0.116943,-0.029551,0.172106,0.008133,-0.169046,-0.100211,-0.125618,0.081993,-0.067959,-0.056133,-0.000262,-0.070202,-0.004591,0.060572,-0.004700,0.007818,-0.100671,0.145529,0.107684,0.116493,-0.183184,0.114762,-0.001218,0.025510,0.005478,-0.082725,0.001979,-0.088803,0.122714,0.087108,0.085899,0.054825,-0.044908
storebro bruk,company,4.000000,4.000000,0.000000,true,0.117515,0.276577,-0.623876,0.960678,0.551865,-0.436151,-0.230437,-0.187084,-0.183053,-0.412541,-0.185630,0.270554,-0.184805,0.072881,-0.122911,-0.187007,0.050750,0.149800,0.280101,-0.057439,-0.261730,-0.393758,0.375551,0.190133,0.476349,-0.059644,0.430910,-0.277269,-0.239545,0.026664,0.188261,0.012074,-0.376122,-0.284606,0.309076,-0.016325,-0.085129,0.084796,0.225759,-0.089126,0.158365,-0.020718,-0.385992,-0.266935,-0.173147,-0.014239,-0.128493,-0.117835,0.345044,0.081711,-0.103235,0.021560,0.326035,-0.139168,-0.037062,0.164352,-0.041221,0.026081,-0.005312,0.132435,-0.038876,0.112321,0.167992,0.015868,-0.025967,-0.019903,-0.007580,0.061424,0.214542,-0.069849,-0.038321,0.017462,0.073721,-0.220133,0.052398,-0.011638,-0.088518,0.341614,0.040048,-0.072924,-0.180873,0.034722,-0.169763,-0.111727,-0.021722,0.047693,0.126919,-0.029990,0.252745,-0.167447,-0.061296,0.181269,-0.135237,0.262197,0.089138,0.291765,0.121326,-0.086307,0.081300,0.147914
willys,company,4.000000,4.000000,0.000000,true,0.052118,0.336601,-1.725827,0.963854,0.249903,0.002758,0.443914,0.494536,-0.010698,0.242318,0.070054,-0.499685,0.166665,0.097176,0.075879,-0.084620,-0.160520,1.035250,0.031017,0.026882,-0.519375,0.039965,-0.919797,0.055284,0.030400,0.110024,0.230355,0.409475,-0.262380,0.061388,-0.313505,-0.386325,-0.033830,-0.253341,0.372479,-0.385880,-0.108753,-0.334966,-0.406033,-1.133434,-0.467600,0.157188,0.664312,-0.154461,-0.321204,-0.475011,-0.238789,-0.280166,-0.096905,-0.119358,-0.332593,-0.301593,-0.084282,-0.235372,0.540710,-0.918763,0.259685,-0.080214,0.802926,0.866550,-0.407160,-0.030878,-0.025036,0.360076,-0.386634,-0.138935,-0.289830,0.453205,-0.025748,-0.084181,-0.357656,0.298155,-0.115217,0.100855,0.013538,-0.228096,0.208071,0.369614,0.107783,-0.265044,-0.006493,-0.043437,0.013950,-0.706770,-0.632274,0.229553,0.176846,0.203456,-0.167818,0.006359,-0.321581,0.138855,-0.020363,-0.000606,-0.260168,-0.024611,-0.174223,-0.149840,0.228383,-0.437321
perstorp ab,company,4.000000,4.000000,0.000000,true,-0.246590,0.818968,-0.756542,0.228529,0.492713,-0.350724,-0.280855,0.300095,-0.094042,-0.585573,-0.343571,0.085443,-0.044190,0.120888,-0.087780,-0.115144,0.146553,0.353105,0.414855,0.030773,0.018695,-0.024177,0.473217,0.249222,0.167424,0.058592,-0.036432,0.115832,-0.190033,-0.177693,0.015777,0.160933,-0.326394,-0.006210,0.126115,-0.228422,0.068511,-0.004438,-0.172530,-0.039488,0.019474,0.002126,0.010520,0.079003,-0.147467,-0.004839,-0.032370,-0.264017,0.301581,0.026549,-0.125269,0.061407,-0.118372,-0.185050,0.158766,0.131649,-0.200511,0.182395,-0.412285,0.230235,-0.051306,-0.087933,0.046131,0.204583,-0.027520,-0.126004,-0.241975,-0.300905,0.325789,0.123656,-0.093762,0.192808,-0.261760,-0.085349,0.194270,-0.190524,0.076188,0.154389,0.003055,-0.080316,0.154856,-0.000413,-0.254645,-0.071865,0.098812,-0.190059,-0.077244,-0.095459,-0.244997,0.127481,-0.032017,-0.167316,-0.116868,0.047798,0.215004,-0.035067,0.003418,0.072355,0.116714,0.087653
