word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
apuy,game,2.182958,2.182958,0.000000,false,-2.075523,-0.392851,-0.809759,-0.650778,-0.403248,-1.063151,0.523307,0.269986,0.330429,-0.634531,0.783170,-0.462637,0.533890,-0.172120,0.041225,-0.011298,0.396569,-0.329174,0.653947,-0.283372,0.750928,-0.021984,0.550792,-0.352518,0.411787,-0.047373,0.239940,0.230516,0.091418,0.292615,0.410406,0.142089,-0.570711,0.037362,-0.146026,-0.753397,-0.464762,-0.123593,0.076655,0.450230,-0.209749,0.081399,0.047222,-0.567330,0.808130,0.467055,0.069509,-0.080660,0.217501,0.286614,-0.137143,0.422566,0.037924,0.733722,-0.191772,0.149112,0.419703,0.085330,0.257872,-0.934840,0.134822,-0.095009,0.486610,-0.017723,-0.361634,0.985996,-0.389825,-0.037393,0.542755,-0.341536,-0.096064,0.205562,0.155390,-0.089408,-0.334987,0.037921,0.095301,0.400919,-0.644038,-0.318549,-0.318572,-0.443639,0.317081,0.084291,1.056113,-0.407705,1.255702,-0.655980,0.869480,-0.661642,-0.295392,-0.057366,0.131248,0.115358,0.293110,0.770366,-0.676880,0.254813,0.197977,0.242734
dishonored,game,34.000000,34.000000,0.000000,true,-0.749855,-1.468233,0.281882,-0.498921,-0.635036,-0.071692,0.092870,0.555234,-0.604855,0.626877,-0.924514,-0.031883,0.052218,0.265813,-0.448167,-0.159521,-0.179957,-0.313645,0.797645,0.328791,-0.810960,-0.090671,-0.466365,0.209060,0.000169,0.008158,0.639443,0.683064,0.115324,-0.218206,-0.411754,-1.095587,-0.041334,-0.363475,-0.310970,0.173376,-0.744626,0.874580,0.270160,0.084682,-0.482751,0.050708,0.233988,0.268830,-0.015948,0.241353,0.747163,0.107182,-0.426574,-0.159761,-0.070467,0.067992,0.980620,0.404021,0.269776,0.544156,-0.081879,0.187748,-0.189655,0.022371,0.384895,0.595692,-0.175568,0.377982,0.038662,0.168153,-0.039626,0.103094,0.535102,0.204139,-0.554110,-0.106196,-0.318333,-0.194848,0.561788,-0.098760,0.097053,-0.304299,0.111338,0.119280,0.275860,0.162910,-0.295759,0.460951,-0.537835,0.417177,0.021575,-0.010405,-0.213569,0.314737,0.159019,-0.258160,-0.108532,-0.004718,-0.295352,0.152029,0.160978,-0.065576,-0.142926,-0.189136
kakuro,game,34.000000,34.000000,0.000000,true,-0.614656,-0.705764,-0.647126,0.625166,-0.564416,-0.976123,0.606852,-0.057083,0.085092,-0.414494,0.947273,-1.132107,0.986438,0.340614,-0.315464,0.050103,0.682989,-0.915016,0.822179,-1.276808,0.250542,-0.107652,0.739617,0.560642,-0.492607,-0.056612,0.469184,-1.294143,1.020438,1.263551,0.193152,0.002782,-0.437588,0.590296,-1.406219,0.539468,-0.368128,0.348312,1.039643,0.042046,0.161451,-0.409789,-0.856203,0.585575,-0.140124,-0.124348,0.638091,0.373977,0.646876,0.852580,-1.286066,-0.875455,-1.916376,0.268515,-0.956265,-0.095485,-0.310922,0.280273,-0.167436,-0.358651,-0.519979,0.992122,0.744860,0.600594,-1.274374,-0.039085,0.147387,1.646426,0.866369,-1.388699,-0.290663,-0.552703,0.123347,-0.002181,0.580080,0.079358,0.718758,-1.093823,0.309105,-0.429259,-0.698323,1.356281,0.123499,0.458889,0.765859,-1.052422,-0.037641,-0.268974,-0.318960,-0.187042,-0.482641,-0.040264,-0.335134,-0.584450,1.194378,0.906835,-0.151166,0.525359,-0.501035,0.560563
half-life: opposing force,game,34.000000,34.000000,0.000000,true,-1.027637,-0.953597,-0.434444,-0.978690,0.145377,0.452457,0.482059,-0.199548,-0.026153,-0.125963,0.236786,0.170227,-0.281589,0.325956,0.095906,-0.331911,-0.172856,0.076000,-0.038256,0.451596,-0.216766,-0.156783,0.059031,0.224545,-0.047555,0.118735,-0.067822,-0.107385,-0.074651,-0.306689,0.117632,0.147626,0.069378,0.001519,0.229596,0.212741,0.013253,-0.011308,-0.073932,0.018323,-0.046035,-0.135386,-0.218874,0.252188,-0.161401,-0.092439,0.120914,-0.071918,0.016914,-0.077979,0.071441,0.109804,0.111372,0.199249,0.053943,-0.282638,-0.137988,-0.014015,0.011391,0.202551,-0.456237,0.244408,-0.008538,-0.017074,0.151949,-0.117032,-0.012137,0.236665,-0.070945,0.143988,-0.107950,0.055260,-0.109046,0.017551,0.378532,-0.044950,0.005737,0.053534,0.015192,-0.491037,0.072365,0.039651,0.003523,-0.051498,0.177294,-0.016174,0.039049,-0.355781,0.051358,-0.387760,0.089526,-0.267813,0.114223,0.277611,0.177358,-0.076422,0.074690,-0.140579,0.223076,-0.233712
the phantom pain,game,34.000000,34.000000,0.000000,true,-1.090032,-0.996480,-0.329911,-0.570370,-0.057260,0.368696,0.308399,0.027126,-0.152704,0.065696,-0.121084,0.063285,-0.293566,0.234166,0.053517,-0.194400,-0.034511,0.018587,0.193694,0.364003,-0.072339,-0.270976,-0.172663,0.121918,0.028402,-0.040915,0.226980,-0.024867,-0.071020,-0.157586,0.178638,0.060183,-0.302810,-0.286378,0.076016,0.019952,0.187330,-0.327382,-0.041378,0.010444,0.024052,0.055725,-0.097311,0.048895,0.124233,-0.044569,0.107266,-0.009936,-0.047180,0.164355,0.019500,0.036146,0.065784,0.149677,0.111927,0.047763,-0.191315,-0.113268,-0.008311,-0.211961,-0.361179,-0.159839,0.253410,0.312303,0.008564,0.150909,-0.079765,-0.166233,0.091828,0.009573,0.069645,-0.262750,0.027424,0.147147,0.008343,0.111302,-0.049089,-0.079312,0.102251,-0.280041,-0.191793,-0.057272,0.158657,-0.141555,0.132157,-0.130434,0.269648,-0.149267,0.234193,-0.030386,-0.019148,0.054145,-0.028232,0.222353,-0.130239,0.247288,-0.272743,-0.073921,0.135812,0.276214
simcity 4,game,34.000000,34.000000,0.000000,true,-0.909310,0.097807,-0.465235,-0.213665,-0.619518,-0.222398,-0.304856,-0.336261,0.241069,-0.374474,-0.210507,-0.269478,0.069550,-0.374893,-0.327629,0.251774,-0.302621,-0.201614,-0.766606,0.233881,-0.387568,0.301009,0.274097,0.009685,0.340925,0.187475,-0.241354,0.584639,0.009488,0.197479,0.277598,0.464907,-0.152803,0.006833,0.184479,0.074802,-0.127315,0.172769,-0.156604,0.055792,0.166437,-0.094215,0.435680,0.116205,0.370930,-0.091866,-0.404720,-0.075952,-0.208925,-0.063006,0.084479,-0.102585,0.366462,0.292130,-0.102036,-0.360254,0.251679,0.009003,0.164531,0.284471,-0.161226,0.290784,-0.301762,0.364353,-0.191048,-0.098806,0.027243,-0.078689,0.191604,-0.162482,-0.189058,-0.269903,-0.182116,-0.074532,0.048599,0.251515,-0.396701,0.084047,0.161145,-0.021637,-0.324383,0.207957,-0.013719,-0.075229,0.050897,0.227941,-0.211697,-0.247641,-0.007125,-0.045534,-0.074463,-0.081921,-0.065209,-0.000235,0.193766,0.179165,-0.126534,-0.136009,0.011735,-0.168390
huddersfieldtown,game,2.991511,2.991511,0.000000,false,-1.358386,-0.214307,-0.298362,-0.329128,-0.639539,-0.179271,-0.103725,-0.585409,-0.052368,-0.044471,-0.379420,-0.333025,1.110648,0.301304,-0.848444,-0.312904,0.315103,-0.023344,-0.408132,0.461510,-0.121686,-0.030210,0.073073,-0.670320,-0.150578,0.105589,-0.530933,0.072996,-0.263034,-0.080826,0.044618,-0.141238,0.159811,0.053304,-0.410038,0.146329,-0.105055,0.336208,-0.061660,-0.010800,-0.212511,-0.423958,-0.022791,-0.288582,0.096600,0.264105,-0.172492,0.278428,0.091367,0.156220,-0.035700,-0.100855,-0.068482,0.193146,0.207530,-0.365192,0.204914,-0.254999,0.145220,0.113231,0.182174,0.196915,-0.084653,0.205230,-0.083212,0.134962,0.125097,0.774970,-0.391223,0.117303,0.047866,-0.366806,-0.458691,-0.012716,0.171800,0.030794,-0.175513,0.258122,0.064718,0.121488,-0.287197,0.163138,0.173051,0.058324,-0.075485,0.410956,0.194362,0.171381,0.096022,0.085521,-0.094281,0.088993,-0.246321,-0.141573,-0.295610,0.230865,-0.113413,-0.268631,-0.097865,-0.356656
fifa 09,game,34.000000,34.000000,0.000000,true,-0.139253,-0.378556,-0.765181,-1.073427,-0.605366,0.740868,0.045695,-0.445657,0.020556,0.069495,-0.996016,-0.695874,0.470889,-0.564080,0.516809,0.176588,-0.324342,-0.395759,-0.082329,0.282350,-0.663553,-0.033478,0.093351,0.315639,-0.281300,0.826558,-0.314611,0.377959,0.241233,0.137413,-0.277447,-0.562982,-0.009408,-0.311822,0.278740,0.186748,-0.128645,0.076957,0.806325,-0.415772,-0.183451,0.383774,0.289989,0.056448,0.224522,0.490137,0.232986,-0.137228,0.389528,0.217673,-0.080063,-0.401450,0.837732,0.008126,0.031381,0.696172,-0.054943,0.613591,0.160474,-0.207069,-0.000199,-0.057023,0.550580,0.120588,-0.138281,0.217193,0.201231,-0.322093,-0.097054,-0.602293,-0.090300,0.270841,0.052446,-0.070860,0.237558,0.191472,0.195694,0.149863,0.191192,-0.268324,0.102362,-0.002521,0.013200,0.232391,-0.503205,-0.054485,-0.114561,-0.075845,-0.305349,-0.039461,0.307858,-0.206699,-0.116131,-0.058899,-0.126689,0.012698,-0.050997,0.154195,-0.372994,-0.215554
uefas,game,3.600020,3.600020,0.000000,false,0.411064,0.593865,-0.494554,-0.943791,-0.282611,0.540413,-0.729374,-0.598671,-0.319828,0.135549,-0.681087,-0.658305,0.696183,-0.606393,0.298615,0.434064,0.306735,-0.512391,-0.636651,0.694835,-0.025204,0.195016,0.141123,-0.314085,0.071595,0.310471,-0.726205,0.179481,0.369881,-0.061622,-0.537895,-0.486734,0.498097,-0.413658,0.293009,0.331156,-0.252676,-0.088476,0.392364,-0.530632,0.105096,0.637999,0.173583,0.125335,0.382483,0.123208,0.272834,-0.060219,0.066944,-0.157605,0.219121,0.006455,0.059444,0.272980,-0.271177,0.466349,-0.605165,0.180001,0.328466,-0.139931,-0.452070,0.091491,0.687513,0.067407,-0.392522,-0.166400,-0.206605,-0.086494,0.333692,-0.009645,-0.457514,0.083414,-0.094022,0.040284,0.151011,0.107236,0.089974,-0.357331,-0.539937,-0.062839,0.166171,0.080811,0.119784,-0.113076,-0.423004,0.050056,0.076256,0.190578,0.014248,0.149215,0.014033,0.033275,-0.116974,0.028673,0.135876,0.072121,0.170798,-0.135857,0.259703,-0.104160
rise of nations,game,34.000000,34.000000,0.000000,true,-0.740659,-0.723562,-0.276834,-0.918542,-0.171306,0.298643,-0.120604,-0.149069,0.070456,-0.344345,-0.016646,-0.294665,-0.133255,-0.212274,-0.088442,0.283187,-0.179158,-0.258256,0.197744,0.795808,-0.165342,-0.075979,0.128039,0.274780,-0.152914,0.205849,-0.289575,0.096238,-0.069864,0.027218,-0.189712,0.019483,-0.121393,0.103035,0.352044,0.155616,0.143212,-0.189090,0.139277,-0.206129,0.089695,-0.109843,-0.025922,0.038048,-0.215848,-0.189263,-0.200608,0.066454,0.038699,-0.053390,-0.148650,0.057288,-0.126865,-0.093488,0.066805,0.163447,-0.180871,-0.041684,0.073564,0.034763,-0.123707,0.141424,-0.005660,-0.064803,-0.031530,-0.081972,0.077389,0.015278,0.004551,-0.028113,0.193144,0.027046,-0.066270,-0.085400,0.210351,0.042911,-0.165244,0.149513,-0.074511,-0.101903,-0.087619,-0.124604,0.021734,-0.256455,0.100880,-0.028708,-0.240857,0.120930,0.116038,0.194754,0.020225,0.079896,0.020509,0.104546,0.169076,0.198211,0.114462,0.014715,-0.206354,-0.003473
