word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
fredrik andersson,celebrity,800.000000,195.000000,131.000000,true,1.069684,-0.193901,-0.714367,0.021879,0.787534,-0.242053,0.318290,0.043126,0.166315,0.262152,-0.251571,0.198070,0.060845,0.060246,0.178488,0.118566,-0.130131,-0.361264,0.054037,-0.106130,0.126980,0.168305,0.195223,0.037798,0.010343,0.088754,-0.087619,0.003172,-0.197204,0.100176,0.210246,-0.257467,-0.178809,0.074836,0.205914,0.072626,-0.005738,0.087979,-0.116902,-0.161577,0.062508,-0.053483,0.029888,-0.272129,0.185311,0.203985,-0.135957,0.096027,-0.010700,0.105126,-0.242120,0.137444,-0.084157,0.283753,-0.003077,0.292437,-0.241793,0.146440,0.339934,0.107212,-0.236184,-0.085753,-0.088454,-0.086190,0.006722,-0.374240,-0.009132,0.177723,-0.161265,-0.254406,-0.056957,0.063034,-0.161885,-0.008442,-0.114262,-0.079262,0.132023,0.005410,-0.046196,0.093665,0.137143,-0.018292,-0.186344,-0.107622,-0.120811,-0.095051,-0.201595,0.014000,0.129057,0.138727,0.025288,-0.088325,-0.131302,-0.247537,0.047736,0.267604,-0.263098,0.081536,0.333179,-0.073394
socialdemokraterna,celebrity,779.000000,183.000000,126.000000,true,-0.045711,1.595504,-0.028932,1.053130,-0.155171,0.090474,-0.282207,-0.710838,-0.939002,0.820983,0.855617,0.666711,-0.456704,-0.232264,-0.322699,0.667277,-0.040498,-0.043006,0.259946,-0.791129,-0.017424,-0.796752,0.615801,-0.378668,-0.658100,0.137528,0.112958,0.018260,0.040400,0.557684,0.019875,-0.207671,0.055973,-0.005980,0.267662,-0.262155,-0.314025,0.209319,0.157098,0.077542,-0.035340,-0.158626,0.084448,0.049990,0.117152,0.125008,0.183373,-0.293637,0.176750,-0.102885,-0.219821,0.280081,-0.200023,0.040016,-0.144864,0.229698,0.227014,-0.196991,-0.426363,-0.112173,0.316319,-0.274434,-0.004855,-0.383539,-0.001095,-0.247077,0.215912,-0.074531,-0.253437,-0.422460,0.102049,0.339250,0.223802,0.021106,0.149585,-0.129160,-0.202753,-0.278098,-0.158956,-0.062677,0.250032,0.351745,0.029690,-0.071531,-0.152180,0.174339,0.033773,-0.099137,-0.062529,0.022914,-0.165106,0.103188,-0.084317,-0.301081,-0.267430,-0.063769,-0.032093,-0.096518,0.069370,-0.133841
bianca ingrosso,celebrity,758.000000,222.000000,111.000000,true,0.287330,-0.012551,-0.639334,0.927976,-0.773978,0.549784,-0.522857,-0.185226,-0.324508,-0.994891,-0.027859,0.245161,1.184388,0.342350,0.449607,0.375859,0.236384,-0.060529,-0.862733,0.095662,0.232662,0.394583,-0.095636,-0.380878,0.416694,0.398204,0.247009,-0.379460,0.215111,0.191091,0.135927,-0.207328,-0.255993,0.137395,0.155677,0.112287,-0.169113,-0.163920,-0.150749,-0.156279,-0.195538,-0.298864,0.141598,0.157348,-0.160637,0.127740,-0.225538,-0.114192,-0.236846,-0.057396,0.209190,-0.286131,0.228216,0.105644,-0.098506,0.160575,0.005837,0.125362,-0.154349,0.207786,-0.288618,-0.589674,0.134986,0.187619,-0.193570,0.156987,0.104084,0.079585,0.062038,-0.064897,0.210383,0.163166,0.172979,-0.323323,-0.020019,0.139945,0.197021,-0.190299,0.189751,-0.012644,-0.400508,-0.127430,-0.199926,-0.471458,-0.071078,0.001012,-0.078238,0.045063,0.127952,-0.341420,-0.093610,-0.229588,0.143567,-0.379796,-0.269565,0.140451,-0.031358,-0.168118,0.043855,-0.225957
polisen,celebrity,755.000000,170.000000,123.000000,true,0.140567,1.016849,-0.106726,0.775894,-0.285191,-0.797382,0.063207,-0.273670,-0.229748,0.189675,0.238251,-0.111673,-0.309185,-0.430344,-0.387463,0.524212,0.552982,-0.176028,0.097020,-0.057652,-0.146714,-0.286894,-0.424295,0.641238,0.060692,-0.440333,0.097374,0.261510,-0.139654,-0.432662,-0.116821,-0.151302,-0.147525,-0.154475,0.338405,-0.063045,-0.079601,-0.186884,-0.164565,0.052016,0.081252,0.011446,-0.087080,-0.001793,0.679090,-0.311851,-0.186034,-0.147230,-0.218041,-0.014496,0.298224,0.282941,-0.019305,-0.322712,0.309309,0.054876,0.015583,0.480063,0.033063,0.217529,0.416526,-0.143846,-0.075007,0.451330,0.156575,0.002160,0.182451,0.116572,0.169905,-0.063567,-0.102392,0.185387,-0.088333,0.270629,-0.012866,-0.116136,-0.059548,-0.139423,-0.083425,0.090644,0.322609,0.064910,0.128856,-0.138934,-0.264257,0.197230,-0.258782,-0.037859,-0.429687,-0.109727,-0.194989,0.075076,0.183398,-0.014690,-0.116164,-0.197302,-0.071674,-0.286959,0.168479,0.493253
moderaterna,celebrity,748.000000,169.000000,122.000000,true,-0.109857,1.776020,-0.173287,1.053052,-0.097778,0.093763,-0.278872,-0.800976,-0.885388,0.736079,0.687012,0.593651,-0.371505,-0.152388,-0.266582,0.749666,0.092215,0.078419,0.172305,-0.668915,-0.037859,-0.666405,0.552459,-0.375807,-0.738351,0.110151,0.241254,-0.036799,0.124480,0.365727,0.270780,-0.369310,-0.262546,0.018080,0.257576,-0.193824,-0.214200,0.227563,0.129203,-0.105940,-0.216540,-0.054680,0.092016,-0.121077,0.005466,0.178378,0.106399,-0.394806,0.330778,0.141588,-0.291234,0.094598,-0.079965,-0.127157,-0.038147,0.199397,0.050193,-0.059307,-0.374626,-0.092568,0.122851,-0.178336,0.071243,-0.247070,-0.001258,-0.138743,0.230858,0.087869,-0.365312,-0.184969,0.085419,0.401353,-0.055385,-0.062482,0.088639,-0.158395,0.083878,-0.369149,0.009664,-0.076603,0.269921,0.364192,-0.150751,-0.200020,-0.187056,0.120837,0.060309,-0.060986,-0.080507,-0.082150,-0.037567,-0.089330,-0.145102,-0.214149,-0.379277,-0.233551,-0.151911,-0.139193,0.051134,-0.141410
tv4,celebrity,738.000000,129.000000,128.000000,true,-1.977768,-0.814334,-0.341052,2.191657,0.478522,0.213542,1.581377,0.497732,0.414343,-0.967238,0.769687,1.367931,0.830150,0.326130,-1.173194,-0.897589,-1.415330,1.938491,0.891612,-1.879888,-1.179865,0.221440,-2.985909,-0.335400,-0.334728,-1.116711,0.279650,0.738343,-0.901227,-0.096237,-0.469283,0.005325,-0.404415,-0.314307,-0.413306,-1.240995,-0.415704,-0.017738,1.112507,0.722878,0.145506,-0.056557,0.496354,-0.220311,-0.083020,-0.766185,-0.721109,-0.003462,-0.001440,0.160505,0.831363,0.867333,-0.983056,-1.072153,-0.233273,0.320253,-0.728840,-0.138785,-1.055254,-0.285796,0.038787,0.334031,-0.416663,1.105634,0.591049,0.440344,0.636677,-0.238199,-0.586292,-0.850129,0.706385,0.139269,0.156547,0.073140,-0.430871,-0.275708,0.905818,-0.133521,0.294439,0.353589,-0.386021,-0.144539,-0.695302,0.024798,0.428747,0.057007,0.606089,0.161897,-0.313625,-0.427058,-0.407024,-0.519832,-0.307113,-0.491753,-0.007924,0.389790,0.142970,-0.029202,0.449279,0.376918
ribecka,celebrity,633.000000,162.000000,101.000000,true,0.142478,0.630123,-0.465575,-0.536009,-0.691260,0.104782,-0.658081,0.204338,-0.110162,0.042667,0.075173,0.008519,-0.228105,-0.232992,0.092416,0.134810,-0.147147,0.095378,0.317811,0.588858,-0.016941,0.275418,0.131918,0.061013,0.325873,-0.140548,0.247487,0.480236,0.059331,-0.144909,0.052378,0.160316,-0.049640,0.142403,-0.108584,-0.003568,-0.182429,0.057824,0.397044,0.318656,-0.749684,-0.451934,0.043584,0.292999,-0.081877,0.412326,-0.073976,-0.004508,0.469110,-0.329333,0.047731,0.022630,0.064857,-0.079447,0.417099,-0.075731,0.241640,0.409805,-0.011836,0.435116,-0.100426,0.008810,-0.075126,-0.324251,0.142951,-0.453680,-0.087169,0.214466,-0.222771,-0.221136,0.033606,-0.404283,0.353085,0.203949,-0.119934,0.105822,0.177910,0.071822,0.139019,0.184562,0.244646,0.038390,-0.310225,0.035927,0.055219,-0.121444,0.223599,-0.061720,-0.060179,0.154776,0.236718,0.050443,0.065119,0.012865,-0.132468,-0.068390,0.363284,0.164048,0.193779,0.357198
sveriges radio,celebrity,618.000000,95.000000,107.000000,true,-0.278512,0.826206,-0.431470,0.447929,-0.003471,-0.545866,0.012719,-0.158652,-0.015738,0.301011,-0.379474,0.315320,0.648495,-0.058523,0.340099,-0.374437,-0.262910,0.251689,-0.504502,-0.045619,0.021006,0.223748,0.935082,-0.093833,-0.143265,0.316696,0.205935,0.248188,0.095793,0.180384,0.153358,0.225453,-0.316158,0.049989,0.498526,0.059238,-0.327175,0.078136,0.694285,0.202774,0.207127,-0.228789,0.302008,0.197233,-0.140245,-0.554731,-0.017529,0.098269,-0.155509,0.054557,-0.297356,0.484342,0.376924,0.204582,-0.276900,-0.428825,-0.392033,-0.005739,0.081067,-0.247598,0.173801,-0.035655,0.420597,-0.088445,0.071076,0.014491,0.203080,0.122788,-0.414240,0.552152,0.130045,0.003870,-0.041592,-0.084765,0.089013,-0.088921,0.190938,0.223986,0.008255,0.004764,-0.205275,-0.211631,0.309109,0.281315,-0.096065,0.102173,0.227073,-0.115425,-0.054983,-0.260186,-0.081721,-0.360337,-0.003423,0.198749,-0.062491,-0.079035,0.409841,-0.370156,-0.113670,-0.227505
anis don demina,celebrity,597.000000,151.000000,90.000000,true,0.022446,-0.233532,-0.389955,0.267611,-0.662466,0.156188,-0.030787,-0.525092,0.411522,-0.463487,-0.113577,-0.098166,0.570755,-0.197172,0.513732,0.363663,0.489213,-0.009541,-0.196293,-0.177542,0.265390,0.017839,-0.536097,-0.321578,0.310661,0.295419,0.497491,0.472801,0.110880,0.215138,0.564785,0.157950,-0.025497,0.081159,0.204864,0.012396,0.207835,0.225237,-0.029793,-0.044506,0.483831,-0.039135,-0.300826,-0.470066,-0.063598,0.239742,0.003886,-0.222989,0.263133,0.040421,-0.289293,0.055179,0.492630,0.235003,-0.034171,0.038214,0.147834,0.164349,-0.006826,0.154137,-0.252854,0.283131,0.126839,0.438401,-0.207392,-0.254231,0.027856,-0.218938,-0.191772,-0.081644,-0.039311,0.118726,0.047914,0.228688,0.229643,-0.273204,0.370809,0.078466,0.371392,-0.267029,-0.223749,0.147240,-0.064554,0.285036,0.306557,-0.062904,0.387670,-0.039686,-0.103506,0.381949,0.017568,0.305465,-0.344728,-0.046748,-0.058866,0.099072,0.114075,0.024924,-0.103856,0.128517
winsent thunholm wikman,celebrity,594.000000,150.000000,90.000000,true,0.517462,0.190893,-0.366145,-0.023069,0.296638,-0.181271,-0.202638,-0.228156,-0.346284,0.072377,0.018042,-0.178148,-0.141948,-0.470784,0.287363,-0.580376,0.131328,-0.108646,0.220755,0.202052,0.086474,0.172434,0.189382,-0.027354,0.446034,-0.425241,-0.171133,-0.573914,-0.019974,-0.214879,-0.113603,0.089871,0.402851,-0.310402,-0.078662,0.199988,-0.070328,-0.118004,0.026425,0.120485,0.084711,-0.220432,0.199448,-0.059334,0.640974,0.035780,-0.057505,0.054785,0.292741,0.316100,-0.033381,0.362835,-0.077681,0.524287,0.036153,0.072938,-0.147203,-0.227358,0.046978,0.307286,0.376121,0.065493,0.122809,0.168573,0.082215,-0.081938,-0.003297,0.107514,-0.197251,-0.090733,-0.216049,-0.163337,0.335696,0.020957,0.178775,-0.012042,0.084983,0.073444,-0.235227,0.238866,-0.079103,-0.480436,-0.121775,-0.028585,0.191596,-0.216675,0.168657,0.200025,0.025545,0.016592,0.063572,0.041327,-0.095197,-0.048776,-0.276123,0.106223,0.181890,0.145682,-0.040894,-0.268708
