word,category,popularity,sitelinks,score,is_seed,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
fktrelleborgs,company,1.000000,0.136547,0.000000,false,0.229309,0.773102,2.187915,-0.765781,-0.081185,-0.860190,0.295318,1.478395,-0.682067,0.564402,0.014362,0.123808,0.501007,0.260928,0.436401,0.136495,0.452678,0.102531,0.018327,-0.019521,-0.058364,0.144242,-0.009076,-0.342910,-0.335210,0.285358,0.074243,0.048597,-0.110880,-0.104417,-0.145839,-0.543858,0.172569,0.159544,0.030938,0.020623,-0.141893,0.013565,-0.628044,-0.095621,0.285977,-0.309975,-0.325354,-0.153956,-0.022039,-0.010759,0.078285,0.102476,0.338550,-0.250627,-0.052398,-0.330709,-0.282042,0.067231,0.044661,0.030809,0.021900,-0.071824,0.215640,0.179211,0.129738,-0.172596,-0.538914,0.138465,0.453755,0.068458,0.116487,-0.106448,0.019161,-0.068417,-0.205806,0.165412,-0.198081,-0.228199,0.064727,-0.056557,-0.100013,0.470107,-0.083331,-0.327731,-0.074621,0.037633,-0.353201,0.477142,-0.034129,0.199934,0.243881,0.321949,0.237340,-0.088177,0.372495,0.160114,-0.137579,0.118181,-0.099968,0.187794,-0.084686,0.093765,-0.371783,-0.026040
skånes,company,1.000000,0.272313,0.000000,false,0.425919,1.639512,0.029879,-0.094454,-0.347296,-1.020147,0.385609,0.301240,-0.248773,-0.145622,0.138045,-0.064069,0.231708,-0.645557,-0.459405,0.038101,0.842907,-0.101857,-0.377296,0.112531,-0.205212,0.199051,0.395342,0.143270,0.398270,0.466652,0.651151,0.507720,-0.162489,-0.743892,0.213519,0.007690,0.138036,0.125498,0.368997,-0.205470,0.435777,0.295861,0.258885,-0.379499,0.333930,0.102302,-0.462795,-0.525751,-0.046206,0.114015,-0.160318,-0.086246,0.074268,-0.535696,0.202189,-0.440470,-0.351888,0.046984,-0.315515,-0.171585,-0.445413,-0.012377,0.115777,0.056994,0.209284,0.057082,0.234532,-0.130227,-0.203943,0.422158,-0.450383,0.303318,-0.267803,-0.080067,-0.142770,-0.113141,0.053075,0.061073,0.159084,0.267085,-0.166980,0.149847,-0.237482,0.346366,-0.110765,0.147020,0.498380,-0.545431,0.039339,0.141239,0.245749,0.249041,-0.031634,0.117419,0.281523,-0.282020,0.050440,0.189035,-0.067733,-0.164167,0.147922,-0.194712,0.106349,0.014879
vänersborgs,company,1.000000,0.269069,0.000000,false,0.707473,0.563616,1.591541,-1.479228,-0.254604,-1.254976,0.905252,0.861730,-0.585804,0.050324,0.931474,-0.261153,0.130460,-0.095512,0.265428,0.466165,0.570605,0.221995,-0.229586,0.057550,0.377411,-0.036863,-0.645969,-0.628266,-0.339047,0.012915,0.273143,0.268394,0.084276,0.033497,-0.125347,0.057820,-0.550410,0.300886,0.036758,-0.099737,-0.097164,0.188136,0.101060,-0.576229,-0.730801,0.120907,0.626111,-0.045897,-0.189800,-0.059121,0.646353,-0.123799,-0.010931,0.096239,-0.237609,-0.163813,-0.373102,0.205739,0.385951,-0.040503,0.028260,-0.574622,-0.023183,0.695270,0.116658,0.149631,-0.496642,0.284116,-0.150285,0.408145,0.134945,-0.255445,0.389954,0.269996,-0.134885,0.290014,-0.201312,0.058495,0.502156,0.507317,-0.439371,0.575528,0.342116,-0.205416,0.543738,-0.528401,0.008560,-0.010371,-0.070561,-0.625035,0.047249,-0.673894,-0.337145,0.296843,0.068387,-0.515512,-0.198423,-0.167034,-0.400543,0.041901,0.430972,0.162985,-0.332878,0.041850
helsingborgs,company,1.000000,0.132274,0.000000,false,0.850689,0.939577,1.487602,-0.423269,0.275593,-1.257192,1.071649,1.103699,-0.634890,-0.211043,-0.217645,0.108678,0.613420,-0.424198,-0.226361,0.603445,0.326463,0.374649,0.143721,-0.281495,0.027995,0.187142,-0.024199,-0.342322,0.154987,0.538000,0.192612,0.286342,0.179394,-0.725219,0.219736,-0.185714,0.292201,0.085666,-0.607824,0.788751,0.116863,0.205510,0.163931,-0.469707,0.446948,0.218052,0.026245,0.356904,0.112761,0.173449,-0.004898,0.082313,-0.038452,-0.082742,0.019575,0.067544,-0.442056,0.037714,-0.360036,-0.062907,0.063516,-0.131901,0.328067,-0.048319,0.184848,-0.344609,0.046000,-0.042200,-0.281230,0.589043,0.240118,0.140360,0.130152,-0.045387,0.061641,-0.002441,-0.339548,-0.096339,-0.000709,-0.293038,0.150119,0.082193,0.109652,0.059341,-0.244315,0.059390,-0.265067,0.206835,-0.166436,-0.049393,0.098678,0.027469,0.076656,-0.090647,0.089012,0.055300,-0.218385,-0.230836,0.063953,-0.115931,0.252143,-0.178277,0.126453,-0.013971
hälsingborgs,company,1.000000,0.326341,0.000000,false,0.639304,0.835741,1.718654,-1.880073,-0.499310,-0.806222,1.410862,1.356806,-0.927306,0.370092,0.252620,0.435092,0.736207,-0.434850,0.107327,0.306279,-0.069360,0.596066,-0.146615,-0.666366,-0.084430,0.175358,-0.535871,-0.513698,-0.475426,0.758232,0.000216,0.312394,0.035462,-0.487949,0.172538,-0.357426,0.221098,0.356127,-0.686795,0.652467,0.212387,-0.037721,-0.229375,-0.571535,0.312275,0.628092,-0.021324,0.831391,0.073621,0.280728,-0.070548,0.352292,0.373492,-0.128530,-0.169856,-0.336090,-0.292017,-0.113267,-0.212017,0.038575,-0.006302,0.288134,0.123327,-0.000046,0.200243,-0.043154,0.079727,-0.225598,-0.269722,0.004979,-0.021348,0.068292,0.339260,-0.259816,0.275418,-0.102542,-0.198788,-0.425339,-0.197420,-0.101049,0.063444,0.105068,0.454423,-0.377847,0.305262,0.125463,-0.088274,0.392480,0.003443,-0.058191,-0.182081,0.136736,-0.144006,0.006791,0.052389,0.044099,0.161731,-0.040124,-0.170350,-0.050249,0.183195,0.267937,0.012483,-0.022872
ätvidabergs,company,1.000000,0.123473,0.000000,false,0.473528,0.328423,2.219479,-1.199379,-0.225240,-1.035109,0.814920,1.363930,-0.938744,0.226926,0.028901,0.051588,0.621516,0.088712,0.454883,0.455785,-0.151121,0.412162,-0.255938,-0.521657,0.367042,0.043737,-0.110069,-0.348261,-0.384093,0.003346,0.277352,0.134528,-0.164106,0.361680,-0.020886,-0.335369,0.318326,-0.075414,-0.377728,0.109498,-0.595904,-0.006930,0.018094,-1.105981,0.263815,0.183942,-0.381047,-0.184928,-0.002635,-0.552309,0.146435,0.496556,0.141077,0.103468,-0.103418,-0.258893,-0.044779,0.219634,0.315888,-0.129042,0.527618,-0.017661,-0.339686,0.271382,-0.051602,-0.332502,-0.298517,0.081010,0.135102,-0.374471,-0.152878,-0.600174,-0.106561,0.111558,-0.291270,0.548979,-0.410999,-0.310214,-0.295567,-0.438692,0.028129,0.151714,0.120008,0.209467,0.493054,-0.143327,0.201418,0.407493,0.209552,0.293575,-0.291495,0.322176,-0.010868,0.015058,0.087087,0.072497,0.016177,0.127125,-0.074683,0.042802,-0.403225,-0.277770,-0.228930,0.160057
kronobergs,company,1.000000,0.246023,0.000000,false,0.470471,1.954897,0.517314,-0.791068,-0.052578,-0.916722,1.087112,-0.406585,-0.731878,0.089711,0.728260,-0.534669,-0.407855,-0.316900,0.181456,0.758498,0.238263,0.501404,-0.839080,0.158434,-0.287273,0.063835,-0.306553,0.014157,-0.034772,0.532352,0.242668,0.178524,-0.014386,-0.958282,0.772177,-0.191996,0.030769,0.093552,0.335892,-0.266921,0.205501,0.097635,-0.058266,0.556361,-0.305306,-0.326198,-0.069104,-0.964471,0.404383,0.338559,-0.520758,-0.188561,0.276238,0.266585,0.162845,0.044475,0.100181,-0.091650,-0.190129,0.484603,-0.465514,-0.222373,-0.040340,-0.180080,0.162342,0.145668,0.349636,0.187958,-0.358594,0.084287,-0.059187,0.074564,0.243172,0.036003,-0.173155,-0.014594,0.028494,-0.378659,-0.814155,-0.274022,0.129783,-0.418211,-0.155290,0.180737,-0.594671,-0.123323,0.748568,-0.219423,-0.125694,0.008619,0.289315,-0.051314,-0.333091,-0.099256,0.331540,0.042805,-0.088985,0.397047,-0.185095,-0.008364,0.439643,-0.072373,-0.237578,-0.084228
princebythewood,company,1.000000,0.841741,0.000000,false,-0.502852,-1.016443,-0.375320,-0.420249,-0.531779,-0.160510,-0.403149,-0.231941,-0.229726,-1.048838,-0.426776,-0.266203,0.115945,-0.241821,-0.188008,1.151786,0.036239,-0.278516,0.242742,-0.460091,0.686393,0.187919,0.214220,0.428202,-1.313870,-0.462632,-0.095918,0.446455,0.104437,-0.372992,-0.412385,0.128035,0.172580,-0.164818,0.620496,0.006777,-0.383178,-0.208164,0.534038,-0.344954,-0.089199,0.371386,-0.205781,-0.223200,0.108696,-0.083950,-0.374692,0.319313,0.276101,0.075241,-0.102194,0.330465,0.136774,-0.076319,-0.461353,-0.510263,0.343088,0.330822,-0.002909,0.113312,-0.577718,0.300086,0.039406,0.522733,-0.300415,-0.095727,-0.675929,-0.121937,0.307689,-0.195236,-0.037711,-0.519122,-0.493437,0.322588,-0.232454,0.148798,0.641664,-0.007051,-0.014041,0.575532,0.464896,0.099539,-0.350242,-0.231697,0.326184,0.092915,0.555666,-0.691192,0.033954,-0.269031,0.033029,0.021715,0.009630,-0.143212,0.156430,0.667921,0.210724,0.349005,-0.150912,-0.098422
tbvästerås,company,1.000000,0.340584,0.000000,false,0.271525,0.272489,0.987862,-1.946892,-1.039660,-0.416225,0.399108,0.744782,-0.303670,0.963251,0.264492,-0.674534,-0.316074,0.865946,0.690206,0.190759,0.597364,-0.531217,-0.179368,-0.495184,1.029343,-0.342408,-0.348568,-0.759143,-0.205572,-0.135079,0.058222,0.210178,0.099045,0.590842,-0.017117,-0.019896,-0.273844,0.488821,0.085327,-0.395310,-0.167343,0.606242,-0.153343,0.838780,-0.004871,0.133606,0.431496,0.497436,0.148665,0.108591,-0.382231,0.717905,-0.317414,-0.598274,-0.523711,0.029920,-0.160733,-0.252866,0.456813,0.577553,0.479861,-0.518234,-0.310880,0.068985,-0.116418,-0.530416,0.136320,-0.621000,-0.070222,-0.217922,-0.395458,-0.725553,-0.334089,0.015836,-0.327942,-0.633871,0.256068,0.212894,0.293413,-0.221892,0.049615,0.336388,-0.143925,0.287311,0.149767,-0.533315,-0.588932,-0.640464,-0.235697,-0.468769,0.421735,0.160616,0.120980,-0.358964,-0.046762,0.243231,-0.116589,0.274113,-0.272219,-0.131978,0.937567,0.466315,0.022704,-0.318297
sundsvallfalkenbergs,company,1.000000,0.204185,0.000000,false,0.514538,0.419385,2.191563,-0.877805,-0.571115,-0.804850,1.035600,1.208860,-0.476899,0.216419,-0.351740,0.353639,0.595367,0.258062,0.003530,0.383516,0.015108,0.368156,0.246530,-0.151393,0.338508,0.508518,0.268160,-0.230158,-0.450194,-0.096116,-0.165033,-0.375081,0.027095,-0.064562,-0.102885,-0.829602,0.243437,0.279126,0.003476,0.089844,-0.320152,-0.003412,-0.276111,-0.374520,0.148311,-0.348564,-0.193701,0.162401,-0.009955,-0.219946,0.223438,0.080105,0.078632,0.078980,-0.093627,-0.011937,-0.220600,-0.214662,0.197721,-0.050389,-0.232445,0.182841,-0.094933,-0.054057,0.071788,0.049888,-0.143256,0.005020,0.024585,0.230490,0.015836,-0.095987,0.145814,0.000771,-0.076559,0.094342,0.069407,0.151693,-0.106739,-0.219383,-0.041597,-0.091713,-0.093558,0.187412,0.003142,-0.039485,-0.128264,0.306139,0.181508,-0.019331,-0.124898,-0.060338,-0.135178,-0.110685,0.208523,0.201310,0.025866,0.197044,-0.205976,0.231749,-0.103103,-0.070704,-0.075609,-0.026143
