word,category,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99
total,game,-0.058602,-0.225807,0.127356,-0.297696,0.079243,-0.102888,0.283113,0.148405,-0.142681,0.021111,0.128500,-0.055421,0.048564,-0.061743,-0.005850,-0.148942,-0.086324,-0.038084,0.128062,-0.062859,-0.044911,0.003811,0.017313,0.102564,0.050233,0.047955,0.011912,-0.047493,-0.245712,-0.148519,0.083693,0.060800,-0.040555,-0.042366,-0.035212,-0.034203,0.072036,-0.092166,0.124641,0.059690,-0.043826,0.073298,0.147098,-0.019643,0.012845,-0.119255,0.048831,0.030812,0.083662,-0.004341,-0.001263,0.030563,-0.063305,-0.033849,-0.074575,-0.066929,-0.088797,0.055158,0.057167,-0.062985,-0.025470,0.030518,-0.094710,0.023243,0.054699,-0.030832,0.028260,0.047634,0.030646,-0.137750,0.118951,0.087734,-0.041832,0.006799,0.026182,-0.122757,0.057502,-0.022028,0.080263,0.080467,-0.060563,0.033289,0.051363,-0.020090,0.021697,-0.066782,0.020597,0.003896,0.062682,0.090336,0.036294,0.073531,0.014424,-0.044269,-0.069654,-0.010826,-0.033260,-0.005861,-0.026671,0.048507
dusch,game,0.134689,-0.100462,0.009399,-0.122973,-0.100397,-0.063129,-0.101092,0.089539,-0.021646,0.035673,-0.241991,0.034146,0.108034,0.138403,0.028402,0.119765,0.034475,0.028179,0.093159,0.003889,0.135345,-0.195419,0.136213,0.122894,0.252713,0.074807,-0.168059,-0.057209,0.044727,-0.149778,0.007990,-0.065700,-0.076450,-0.076255,-0.061206,-0.033547,0.096292,-0.110615,-0.001260,-0.043660,0.158542,0.262441,-0.081541,-0.081073,-0.020504,0.085690,0.002623,0.034436,-0.026639,0.059888,0.011990,-0.001500,-0.007083,-0.055850,-0.023085,0.032810,0.040532,0.032339,-0.040668,-0.086837,0.023870,0.085426,-0.089253,0.077675,0.067821,-0.019071,0.029603,-0.028557,-0.067558,0.043068,-0.057163,0.113559,0.043781,0.055149,-0.044098,0.047310,0.001392,0.156738,-0.056400,-0.027120,0.034123,0.085031,-0.040206,-0.075017,-0.048380,0.061805,0.024062,-0.034823,-0.007181,0.190231,0.036071,0.148127,0.022375,0.066747,-0.085997,-0.046134,0.071891,-0.060611,0.056990,-0.018993
online,game,-0.150163,-0.022508,-0.054718,0.050551,0.000020,-0.098131,-0.143505,0.055738,0.044398,0.062866,0.054947,0.008380,-0.033037,0.015060,-0.026142,-0.022423,0.022174,0.007338,0.044183,-0.006874,-0.080973,-0.004114,0.019913,0.073870,-0.088689,-0.010192,-0.027807,0.015765,0.020272,-0.035535,-0.001916,-0.002940,0.013274,0.084652,-0.015601,-0.095088,-0.043889,0.014413,-0.058354,0.062376,0.007013,-0.029574,0.033578,0.071499,0.002223,-0.073532,0.018478,-0.041226,0.037886,-0.129363,-0.002166,0.091371,-0.037568,0.053685,-0.077645,-0.055573,-0.025326,-0.091223,0.007702,-0.020490,-0.011696,-0.009189,-0.030871,-0.004439,0.046926,-0.004827,-0.003572,0.021170,-0.122034,-0.030945,0.005290,-0.115859,0.041734,-0.080344,0.025326,0.041056,-0.070899,-0.073405,0.006413,0.069744,-0.013186,0.026287,0.031040,0.051919,-0.014456,0.030902,-0.047519,-0.050852,-0.013619,-0.014730,0.002173,-0.041629,-0.037776,0.048505,-0.049483,-0.039418,-0.002970,-0.057043,0.029415,0.029945
morfar,game,0.200789,0.316036,0.164059,0.055523,-0.014022,0.085939,-0.028152,-0.007136,-0.020917,0.002353,-0.032868,-0.002175,-0.049348,0.057992,0.175517,-0.015597,0.044335,0.087580,0.006677,-0.017074,0.082932,-0.008209,-0.042540,-0.027896,-0.066024,-0.010334,-0.038629,0.033528,0.011142,0.025392,-0.013427,-0.094779,-0.012582,0.065746,-0.004515,0.005561,0.053314,0.021541,0.042362,0.042589,0.009203,0.058920,0.052529,0.005209,-0.035282,0.059131,0.018337,-0.000220,0.052515,0.013987,-0.048319,-0.032093,-0.010092,-0.021401,0.055172,-0.052484,-0.024207,-0.088684,-0.051571,0.046779,-0.047100,-0.048994,-0.008573,0.012018,-0.003563,0.021027,-0.063433,-0.050130,-0.009271,-0.008808,-0.026554,-0.017682,0.031072,-0.014872,-0.046512,-0.027743,0.054622,-0.011818,-0.008605,-0.007799,0.093201,0.000308,0.038879,0.011537,0.029456,0.023080,-0.015350,0.018518,0.015460,0.006473,0.063160,0.018863,0.026570,0.003066,-0.044507,-0.060646,-0.006507,-0.039710,-0.048387,0.003447
bada,game,0.344793,-0.160541,-0.077415,0.131761,-0.316592,-0.150750,-0.151191,0.062295,-0.296912,-0.271766,-0.146136,-0.088003,0.073064,0.283767,0.181465,0.326828,0.254324,0.167995,-0.182615,-0.180706,0.409514,-0.120592,0.063858,0.241926,0.063857,-0.091792,-0.058077,0.210207,-0.041860,-0.214035,0.008883,0.034918,-0.100178,-0.109405,-0.017365,0.035678,-0.089044,-0.177218,-0.045665,0.063401,-0.066538,0.137733,-0.031097,0.002374,0.006620,0.067749,0.062692,0.007760,0.069298,0.014124,-0.045263,-0.141777,-0.075338,-0.076783,0.134004,-0.205870,-0.048341,0.046239,-0.142622,-0.045741,0.073499,-0.018915,-0.058340,0.091871,-0.145087,0.009225,-0.017960,-0.188076,-0.009314,-0.027034,0.035503,-0.114145,-0.013608,-0.006639,0.009058,0.167839,-0.110663,-0.017778,-0.053882,-0.084102,-0.101360,-0.002240,-0.068984,0.055000,-0.194007,0.049449,0.035758,-0.029444,-0.084324,0.063590,0.135444,-0.062967,-0.048172,0.074418,0.085402,0.027930,0.050163,0.036521,0.082730,0.185197
party,game,0.025184,-0.023277,-0.243696,0.009488,-0.089919,-0.106015,-0.028061,0.336020,0.062729,-0.023326,0.124644,0.029772,0.080325,0.182282,0.048087,-0.280666,-0.075507,-0.085999,0.005983,-0.070938,0.030083,-0.010066,0.157714,-0.002751,0.024712,-0.073607,0.049069,-0.008952,0.174834,-0.006120,-0.143565,0.197676,0.001469,-0.103999,0.002748,-0.016805,-0.103664,0.027288,0.020355,0.123030,-0.018000,0.068301,0.068656,-0.162827,0.006426,0.035068,0.111071,0.008638,0.085881,0.116142,0.026579,-0.014751,0.173050,0.104910,0.079370,-0.084951,0.050451,-0.109526,-0.018350,-0.026417,-0.059416,-0.077804,-0.031357,0.091094,0.146473,0.011513,0.067494,0.036118,0.068377,-0.139742,0.035433,0.037713,-0.005930,-0.112180,-0.082448,0.039562,-0.103563,0.008633,-0.018969,0.001805,0.066565,-0.099625,0.018845,-0.013562,0.044279,0.098854,-0.064184,-0.057841,0.045751,-0.040268,0.056863,-0.048020,0.074622,-0.025235,0.005093,0.080481,0.014754,0.064641,0.006992,-0.084245
enorm,game,0.003074,-0.229890,0.172925,-0.347195,0.097481,-0.116480,0.260624,-0.055094,-0.097782,-0.043649,0.166964,-0.009547,0.062220,-0.052774,0.066549,-0.104489,-0.106737,0.089388,0.027219,-0.020108,-0.102298,-0.179842,0.022836,-0.008670,-0.029753,0.038631,0.128279,-0.102523,-0.136537,0.004237,0.105085,0.008180,-0.012182,0.008104,-0.074823,0.016587,0.114709,-0.107604,0.121594,0.057145,-0.017790,0.089765,0.126539,0.077140,-0.068430,-0.031089,0.027298,0.065016,0.015162,-0.060075,0.029091,-0.076192,-0.015608,0.047490,0.000502,0.001900,-0.152755,0.096012,-0.044265,-0.026704,-0.042812,-0.062554,-0.065288,-0.005633,0.037664,-0.071370,0.040626,-0.078819,-0.007170,-0.023898,0.001205,-0.052928,-0.000971,0.049098,0.011755,-0.033298,-0.052309,-0.006823,-0.079230,-0.011182,-0.022714,0.034616,0.046589,-0.047231,0.065093,-0.051644,-0.064013,-0.025565,-0.010107,0.023472,0.076070,-0.054579,0.023763,0.019998,0.001828,-0.072418,0.046112,0.003368,0.094959,0.028354
dans,game,0.266812,-0.129871,-0.164713,-0.274397,-0.032741,-0.147788,-0.261412,0.221897,0.194665,0.047491,-0.088284,0.013824,0.252271,0.266466,0.086715,-0.068288,0.118788,-0.158311,0.194752,-0.042872,0.038190,0.000590,0.187119,-0.283285,0.005510,-0.254375,0.162503,0.137770,-0.012676,0.095287,-0.082698,0.248390,0.085454,0.163257,0.000720,0.003329,-0.094226,0.009068,0.056061,-0.062827,0.012556,-0.109813,-0.108035,-0.168510,0.023566,-0.098472,-0.084695,-0.002830,0.063110,0.047486,0.145383,0.066702,0.218005,-0.046676,0.091033,-0.012789,-0.098332,-0.052180,-0.020557,0.051518,0.093747,0.009557,0.014394,0.086740,0.061312,-0.258255,-0.018221,0.059874,0.095953,-0.288067,-0.014174,0.174169,0.041863,-0.024977,-0.001537,0.051026,-0.054796,-0.028887,-0.089986,-0.063417,-0.062305,0.044589,-0.092817,0.011733,-0.152446,-0.111084,-0.097796,0.199849,-0.032722,0.079207,0.099455,0.050019,-0.121673,-0.143511,-0.007359,-0.014000,-0.061998,0.098546,-0.028880,-0.006388
farfar,game,0.199297,0.325908,0.183561,0.050614,-0.002478,0.093464,-0.003354,0.010368,-0.008700,0.016928,-0.019247,0.009456,-0.086858,0.035542,0.144945,0.014135,0.043331,0.114761,0.043049,0.016981,0.088553,-0.021345,-0.028468,-0.049971,-0.088927,-0.014703,-0.026942,0.038567,0.022500,0.001695,-0.012833,-0.074541,-0.006984,0.057725,0.030821,0.004282,0.100313,0.012887,0.026283,-0.000956,-0.016393,0.078473,0.025061,-0.022470,-0.022752,0.087651,0.056681,0.032343,0.079994,0.034528,-0.072808,-0.026748,-0.016716,-0.015532,0.019240,-0.055891,-0.002073,-0.130194,-0.034673,0.022826,-0.010641,-0.043367,-0.013913,0.005864,-0.029294,0.014885,-0.076626,-0.045658,-0.014151,-0.026832,-0.021226,0.029729,0.065589,-0.000819,-0.031727,-0.027297,0.012544,-0.023877,0.001649,0.017659,0.073713,-0.033778,0.032747,0.012560,0.042614,0.015254,-0.021307,0.020390,0.012331,0.019128,0.036934,-0.055733,0.060244,0.008447,-0.011959,-0.048088,-0.009457,-0.061700,-0.033427,-0.015420
storbritannien,game,-0.253064,0.068482,-0.055112,0.059294,0.016336,0.037588,-0.069169,0.001592,-0.038658,0.052685,0.023746,-0.065813,0.015283,-0.024076,0.026976,-0.003816,-0.010766,0.020115,0.009221,-0.019090,-0.020515,-0.038446,-0.013930,0.030593,-0.023167,-0.034533,-0.004466,-0.002781,0.024073,0.007418,0.023067,-0.014330,0.001779,-0.016586,0.007573,0.007203,-0.029660,-0.013078,0.021071,0.005942,0.040671,-0.009231,-0.013094,0.038941,0.009304,-0.007452,0.005841,0.018483,-0.010246,0.033586,0.035228,0.010439,-0.014953,-0.041783,0.032580,0.013578,-0.008182,-0.027272,-0.003773,0.019506,-0.000563,-0.001877,0.003504,0.004719,0.018242,-0.015046,0.017478,0.006934,-0.011742,0.018053,0.012007,-0.033589,0.010203,0.001150,0.001177,-0.002313,-0.019771,0.004133,-0.009313,0.005355,-0.045757,-0.030839,0.001546,0.005497,-0.010132,0.005417,0.007776,-0.018611,0.024944,0.001461,0.021855,0.002332,-0.016626,-0.006582,-0.021279,0.000668,-0.027848,0.041609,0.002565,-0.006166
