Word,Vector
Vi står inte ut men vi slutar aldrig kämpa,0.007259746082127094 0.007836544886231422 -0.002359887817874551 0.012456314638257027 0.006617948412895203 0.0025253393687307835 0.00156437698751688 -0.016539698466658592 0.006847708020359278 0.009049571119248867 0.010442799888551235 -0.0015920446021482348 -0.016420334577560425 0.002840918954461813 -0.0038835143204778433 0.0025095255114138126 -0.012104088440537453 -0.005053263157606125 0.007525897119194269 -0.0036055974196642637 0.0012758689699694514 0.005326558835804462 0.000891239324118942 -0.006029140204191208 -0.0034380548167973757 0.01616269163787365 -0.0014904901618137956 -0.01526720728725195 0.002931847469881177 0.004498741123825312 0.004923106636852026 0.00016746074834372848 0.0048470264300704 0.0074135661125183105 -0.0052550677210092545 0.004957728087902069 -0.0050085242837667465 -0.00027144321938976645 0.0016408947994932532 -0.0023752828128635883 0.009398001246154308 0.009113621897995472 -0.010094813071191311 0.08248598128557205 -0.009425203315913677 0.02303609438240528 0.001779696554876864 0.00015729227743577212 0.014159823767840862 -0.00035681630834005773 -0.006168012041598558 -0.00047011321294121444 -0.012282448820769787 0.006885388400405645 -0.012543365359306335 0.005098365712910891 0.012714867480099201 0.006448914762586355 0.004292139317840338 -0.005030675325542688 0.001351633109152317 0.002206929959356785 -0.0009551687398925424 0.0016749732894822955 0.002780498703941703 -0.006465306039899588 0.003495875047519803 -0.008675823919475079 6.892727833474055e-05 0.006481473334133625 0.0032007619738578796 -0.004370064940303564 -0.009119462221860886 -0.014204943552613258 0.008608894422650337 0.010387465357780457 -0.025892037898302078 -0.00021617631136905402 0.003266846062615514 -0.0017616829136386514 0.005737442057579756 0.0008815478649921715 0.005334076471626759 0.0032893759198486805 -0.00544850155711174 0.007293304894119501 0.01051301509141922 -0.0077380225993692875 -0.005376236978918314 0.009006142616271973 -0.0068805324845016 -0.0012668807758018374 -0.003727248404175043 -0.0015393145149573684 -0.006880063097923994 -0.009937184862792492 0.0018494356190785766 -0.00047162576811388135 -0.01043520588427782 0.00013334001414477825
Hanif Bali,-0.08300773799419403 0.04747183993458748 -0.008115147240459919 0.04509158059954643 -0.02109968103468418 0.019128980115056038 -0.0018289166036993265 -0.004021575674414635 -0.01108117401599884 0.01960436999797821 -0.015060782432556152 -0.028426583856344223 -0.0288075003772974 -0.05937099829316139 -0.006270028650760651 -0.006760525982826948 0.001756233163177967 -0.03171919658780098 -0.04254591092467308 -0.0010139252990484238 0.018348388373851776 0.06156632676720619 -0.011466635391116142 -0.012374288402497768 0.021328195929527283 -1.0788440704345703e-05 -0.010917911306023598 0.005481326952576637 0.0482817217707634 -0.019265875220298767 0.009569404646754265 -0.031867582350969315 -0.028432035818696022 0.03275284543633461 0.01731077767908573 0.008066235110163689 0.046704597771167755 0.005655074026435614 -0.05431506410241127 -0.02730686590075493 0.036343641579151154 -0.01450806763023138 0.003215563017874956 0.20467498898506165 -0.026769772171974182 0.06231936067342758 0.0356205590069294 0.003840053454041481 0.008211779408156872 0.004355267621576786 0.016454726457595825 -0.0462053120136261 0.023875663056969643 0.002078745514154434 -0.004325570538640022 0.034883905202150345 0.020490381866693497 0.00310734030790627 -9.404309093952179e-05 -0.03404049202799797 0.03725617751479149 0.029892710968852043 -0.0035536587238311768 -0.015627209097146988 0.02893238700926304 -0.011698898859322071 0.001895418856292963 -0.042543549090623856 -0.03378571569919586 0.00514758937060833 -0.008773824200034142 -0.0033770501613616943 0.002164974808692932 -0.06984904408454895 -0.018357783555984497 -0.012029467150568962 -0.051373664289712906 -0.0013743485324084759 0.0038040170911699533 -0.012100202962756157 0.033410899341106415 0.003962753806263208 0.005796265322715044 -0.0396849662065506 0.010529644787311554 -0.028852786868810654 -0.028219319880008698 -0.020422808825969696 -0.02101794257760048 0.04057815670967102 -0.042136408388614655 -0.0004884302616119385 -0.04231434687972069 -0.008514853194355965 0.003708354663103819 0.008284201845526695 -0.0076923491433262825 -0.01128847524523735 -0.008650035597383976 0.0035308925434947014
Arga bibliotekstanten,-0.03735918924212456 0.03822260722517967 -0.004236284177750349 0.028741594403982162 -0.010393974371254444 0.025477208197116852 -0.01572430320084095 0.02091745100915432 -0.010043574497103691 -0.007810999173671007 -0.022380486130714417 -0.03881845250725746 -0.01385264378041029 -0.020245973020792007 0.009204454720020294 -0.024029409512877464 -0.0026088475715368986 0.00977929588407278 -0.037454262375831604 0.017938140779733658 0.008821319788694382 0.021045969799160957 -0.0016247492749243975 -0.009731612168252468 0.03217387944459915 -0.008714095689356327 0.02226335182785988 0.00416222121566534 0.010953378863632679 -4.189657556707971e-05 0.029643313959240913 -0.01959197223186493 0.0029921012464910746 0.011266055516898632 -0.010262061841785908 -0.00013869177200831473 0.0013605097774416208 0.007504138629883528 0.01584467850625515 -0.006822448223829269 0.0030147277284413576 0.007162999827414751 -0.015390518121421337 0.12544775009155273 0.023762963712215424 0.057698991149663925 0.02502828650176525 0.0076646520756185055 0.004412188194692135 -0.006507453974336386 -0.013188653625547886 -0.012904027476906776 -0.010570445097982883 0.013772694393992424 -0.015442854724824429 0.0049363053403794765 0.011007128283381462 0.0019725437741726637 0.0008626087219454348 -0.02706379070878029 -0.01222168281674385 0.0037273976486176252 0.008624213747680187 -0.006377668585628271 0.0033547556959092617 -0.01976940780878067 -0.03657040745019913 0.025633430108428 -0.0011516017839312553 0.038535505533218384 -0.024822667241096497 0.02662373147904873 -0.003234281437471509 -0.022837763652205467 -0.009419805370271206 0.010645253583788872 -0.022596649825572968 0.0006653010495938361 -0.03772952780127525 -0.0022963867522776127 -0.009073171764612198 -0.004738743416965008 0.015822794288396835 -0.004707591142505407 0.002839071908965707 0.013905109837651253 0.011805825866758823 0.004348777234554291 0.011105555109679699 0.017315680161118507 -0.02236778289079666 -0.016278568655252457 -0.00221737427636981 0.015320716425776482 -0.017460713163018227 0.02721688337624073 0.020105449482798576 -0.047879040241241455 -0.005025757942348719 -0.007205410394817591
Katerina Janouch,-0.04089385271072388 0.022468509152531624 -0.0040467362850904465 0.019953690469264984 -0.01595943793654442 0.02740606851875782 -0.030187802389264107 0.009783118963241577 -0.006401354447007179 0.06497262418270111 -0.042663075029850006 -0.06954236328601837 -0.005871003493666649 -0.0029012314043939114 -0.00892509426921606 0.012756992131471634 0.0180459376424551 -0.019196856766939163 -0.03819345310330391 0.00843638926744461 -0.025011327117681503 0.009991897270083427 -0.02217671647667885 -0.029126515612006187 0.0258307047188282 -0.051286954432725906 -0.017268437892198563 0.003511141985654831 0.007036412600427866 0.008050582371652126 -0.003847080282866955 0.0003762239939533174 -0.028271455317735672 -0.002107590436935425 0.0073211281560361385 0.0038521785754710436 0.0035671619698405266 0.03270762413740158 -0.039337124675512314 -0.002122235717251897 0.0006237969500944018 -0.021737495437264442 -0.007894701324403286 0.17004165053367615 -0.06993108242750168 0.06514237821102142 0.030868034809827805 -0.027662057429552078 -0.006733668968081474 -0.018516942858695984 0.019969888031482697 0.002865669084712863 0.0116041861474514 -0.016569210216403008 -0.011548475362360477 0.012571391649544239 -0.0012480986770242453 -0.0030421551782637835 -0.007850016467273235 -0.028548279777169228 -0.030802758410573006 -0.005947055295109749 0.033865995705127716 0.01677582412958145 0.014098362065851688 0.0180880855768919 -0.0032742226030677557 -0.02129870094358921 -0.0031782672740519047 -0.005248400382697582 0.008325359784066677 -0.009643149562180042 0.0014868773287162185 -0.05191585794091225 -0.04314566031098366 -0.02082897536456585 -0.05077749118208885 -0.029055148363113403 -0.01654619164764881 -0.028741413727402687 0.011789348907768726 0.016596106812357903 -0.0138694504275918 -0.003739925567060709 -0.016800133511424065 -0.008692230097949505 0.007877485826611519 0.017557591199874878 -0.0005382373929023743 0.01708667352795601 0.023319648578763008 -0.006625202484428883 0.021030861884355545 0.010117965750396252 -0.006287107709795237 0.0045480565167963505 0.024571580812335014 -0.013710611499845982 -0.021613411605358124 0.0012486305786296725
Jerry gillar,-0.016260504722595215 0.05661190301179886 -0.025101084262132645 -0.02115723118185997 -0.006262949202209711 0.002838277956470847 -0.001011974411085248 0.002636743476614356 0.029654711484909058 0.030897194519639015 -0.0010927695548161864 0.011348373256623745 -0.001682177186012268 -0.038718532770872116 -0.031964629888534546 0.007552793715149164 -0.011013827286660671 0.014281073585152626 -0.00410372344776988 0.009211643598973751 -0.013077730312943459 -0.017034083604812622 -0.005222898907959461 -0.03060983121395111 -0.009650839492678642 -0.007466572802513838 -0.010957933031022549 -0.012601769529283047 0.017440516501665115 0.028676042333245277 0.0025230632163584232 -0.027359044179320335 0.00402696942910552 0.029274389147758484 -0.01291284617036581 -0.007594722788780928 0.00474424147978425 0.014388741925358772 -0.002233328763395548 0.005669028963893652 0.014746369794011116 0.011241905391216278 0.039376161992549896 0.2335190325975418 -0.009441038593649864 0.012613743543624878 -0.03289179876446724 -0.028565650805830956 0.005099349655210972 0.009102395735681057 0.0034184716641902924 -0.015151810832321644 0.01667843572795391 0.025986939668655396 -0.02853722684085369 0.006666418164968491 0.015523724257946014 -0.007369800936430693 0.014608049765229225 0.004006250761449337 -0.034492988139390945 0.010850319638848305 -0.011644946411252022 -0.006888319738209248 0.020274614915251732 -0.0007543597603216767 -0.0010078054619953036 0.014510792680084705 -0.03616051748394966 -0.009804846718907356 -0.030382676050066948 -0.011914257891476154 0.00350038125179708 -0.03874412924051285 -0.06107762083411217 -0.01568586751818657 0.01617756299674511 0.03317701071500778 0.017150530591607094 0.02775116078555584 -0.00410231901332736 -0.011917494237422943 0.004698701202869415 -0.003124575363472104 -0.008101481944322586 -0.006141808815300465 -0.010351577773690224 0.018942194059491158 0.0037075753789395094 0.015294360928237438 0.018451733514666557 0.0299442857503891 0.01653333567082882 -0.016642261296510696 0.010363077744841576 0.006601816508919001 0.015496911481022835 -0.014053309336304665 -0.0003771003393922001 -0.0046657370403409
Wisti,-0.08968083560466766 0.1478167176246643 -0.027128269895911217 -0.004527684301137924 -0.0654468685388565 0.14747339487075806 -0.02445993572473526 -0.056200746446847916 -0.0017183534801006317 0.05426846444606781 -0.0887596383690834 -0.05746571719646454 -0.11907979100942612 -0.008742336183786392 0.06609797477722168 -0.05151848495006561 -0.027522843331098557 0.06296027451753616 -0.14284342527389526 0.004750506021082401 0.05968158319592476 0.04959559440612793 0.04593813419342041 0.06248508393764496 0.012814866378903389 0.03331957012414932 -0.018002262338995934 -0.005821720696985722 -0.0010601803660392761 -0.014200719073414803 0.14321836829185486 -0.12331491708755493 -0.08206109702587128 0.0012153573334217072 -0.021066028624773026 0.16849130392074585 0.0425301268696785 -0.036052122712135315 -0.03455429524183273 -0.03205246478319168 0.017338871955871582 0.1338462233543396 -0.01720849797129631 0.3515562415122986 0.024324866011738777 0.14796333014965057 0.1502145677804947 0.004286911338567734 -0.04535583406686783 -0.08311861753463745 -0.010058561339974403 0.0870155319571495 0.04701611399650574 0.0098405871540308 -0.0771225318312645 -0.09692785143852234 -0.0037862700410187244 0.06543076783418655 -0.04370714724063873 -0.1149149015545845 0.038260262459516525 0.10237941145896912 -0.026180492714047432 -0.04105683043599129 0.09601986408233643 -0.014299106784164906 0.008001699112355709 0.017571309581398964 -0.04558438062667847 0.0029520364478230476 0.060524169355630875 -0.008928137831389904 0.010862806811928749 0.05977568402886391 -0.0297238789498806 -0.036011502146720886 -0.03002745285630226 0.07512228190898895 -0.010653579607605934 0.049399107694625854 0.006338544189929962 0.0314343124628067 0.05192160978913307 -0.07489041239023209 -0.003154488280415535 0.07775022089481354 0.06030907854437828 0.04124128818511963 0.0001925453543663025 -0.046351108700037 -0.008397872559726238 -0.023489706218242645 -0.11298006772994995 -0.05070957913994789 -0.01565740630030632 0.01748523861169815 -0.005868036299943924 0.0007377378642559052 -0.08685903251171112 -0.023205604404211044
Fräckisar,-0.031718380749225616 0.07445607334375381 -0.03150438889861107 0.08194185793399811 -0.0034596845507621765 0.004630622919648886 0.03691352903842926 0.08479601889848709 -0.000315291341394186 0.0651506558060646 -0.03750934451818466 -0.07080048322677612 0.008974403142929077 -0.06923921406269073 -0.04292791336774826 0.03065149486064911 0.004173459485173225 0.028376925736665726 -0.0779704600572586 0.0019084939267486334 -0.052954696118831635 0.011749438010156155 0.015231835655868053 0.010995377786457539 -0.04274798929691315 -0.06876526772975922 -0.0041952310130000114 0.009056661278009415 -0.05099904537200928 0.03299834951758385 0.016756128519773483 0.0264972485601902 0.0172860249876976 0.05360972881317139 -0.026504451408982277 0.019113097339868546 -0.023966195061802864 0.01556546799838543 0.01708061620593071 0.015565918758511543 -0.0006874799728393555 -0.030122343450784683 -0.031872913241386414 0.13032159209251404 0.013495668768882751 -0.023327823728322983 0.012198831886053085 -0.0042061712592840195 0.01540566235780716 -0.06400196999311447 -0.003112423699349165 -0.013264019042253494 0.012759792618453503 -0.0061838142573833466 -0.01628178358078003 0.027264822274446487 0.0034316973760724068 0.006828023120760918 -0.0005681489128619432 -0.030871188268065453 -0.02015613205730915 -0.01241865660995245 0.014074094593524933 0.03917532414197922 0.004915026016533375 -0.008135569281876087 -0.02773980423808098 0.018268121406435966 0.010279105976223946 0.0008798143244348466 -0.03328883647918701 -0.019963162019848824 -0.0073457155376672745 -0.024752195924520493 -0.05901183933019638 -0.015316455624997616 0.013921406120061874 -0.008953110314905643 0.008409062400460243 -0.01321223471313715 -0.012413932941854 -0.012337264604866505 0.01325805764645338 0.010237428359687328 -0.0013379696756601334 0.009670576080679893 0.04466446116566658 0.01879924163222313 0.0033492720685899258 0.019157730042934418 0.023584621027112007 -0.024750966578722 -0.006333424709737301 0.001024089753627777 -0.006268947850912809 0.0050710272043943405 0.005042514763772488 -0.027136845514178276 -0.03566276282072067 -0.02149282395839691
Sune ID Hund,-0.03797631338238716 0.03661759942770004 0.03430987522006035 0.031190991401672363 0.013458079658448696 0.05294618755578995 -0.005178220570087433 0.030173558741807938 0.00974893756210804 0.011654277332127094 -0.011589708738029003 -0.04322157800197601 -0.00787586160004139 -0.02957884967327118 0.016711369156837463 -0.0013957929331809282 -0.005744216963648796 -0.008699336089193821 -0.023301400244235992 -0.022895121946930885 -0.019304608926177025 0.012374608777463436 -0.01450978871434927 -0.012475252151489258 0.0008818904170766473 -0.0034961921628564596 0.004397568292915821 -0.021593762561678886 -0.0036674656439572573 -0.018219586461782455 0.0061105117201805115 0.008397183381021023 0.009953543543815613 0.05666293576359749 -0.02416790835559368 -0.009715086780488491 0.031701069325208664 -0.0031982033979147673 -0.00753595819696784 -0.009085913188755512 -0.0036240413319319487 0.004560475703328848 -0.00023233443789649755 0.22764647006988525 0.027761979028582573 0.07235550135374069 -0.014725870452821255 -0.0025579079519957304 0.02196122519671917 -0.024730054661631584 -0.0027703463565558195 -0.022064251825213432 0.01455013733357191 -0.0042935642413794994 -0.036470647901296616 0.0005035031936131418 0.02818651869893074 0.006238625384867191 0.005008147098124027 -0.029128078371286392 -0.01449209451675415 -0.0017277190927416086 -0.007324159145355225 -0.02732868865132332 -0.00532226637005806 -0.0006876042461954057 -0.0023078531958162785 -0.0029858238995075226 -0.004409037530422211 -0.0013821463799104095 -0.02821257710456848 0.028007635846734047 0.04143702611327171 -0.0053841848857700825 -0.04211534187197685 -0.0043294779025018215 -0.007433678489178419 -0.0031606305856257677 0.012693846598267555 -0.009406817145645618 -0.012715170159935951 -0.025689322501420975 0.02442624233663082 -0.0046179587952792645 -0.0022512830328196287 -0.007694454398006201 -0.010939388535916805 -0.007190542761236429 0.026528462767601013 0.026299089193344116 -0.009070093743503094 0.001179822371341288 -0.025869891047477722 -0.01907273568212986 -0.008105526678264141 0.01540570892393589 0.037723083049058914 -0.02329433336853981 -0.03273176774382591 0.0017948560416698456
Fredrik Steen Officiell sida,-0.003341993549838662 0.01691351644694805 0.022411568090319633 -0.013384862802922726 -0.02227696217596531 0.008189870044589043 0.007631813175976276 0.0012517892755568027 -0.006179627496749163 0.012012390419840813 0.0015320018865168095 -0.02520398609340191 0.009726428426802158 0.010167179629206657 0.006294282618910074 0.00581941707059741 0.001095079118385911 0.0325658954679966 -0.0045305960811674595 0.008077738806605339 0.0005130050121806562 -0.00025639854720793664 -0.003101540496572852 -0.004599439911544323 -0.008869619108736515 -0.007415310945361853 -0.005853448063135147 -0.0005937890964560211 -0.001384894596412778 -0.009025085717439651 -0.0009012658265419304 0.005466901697218418 -0.011629756540060043 -0.0016014196444302797 0.008364890702068806 -0.01258525438606739 0.018650079146027565 0.014375847764313221 -0.005710086319595575 0.013192045502364635 -0.003087160177528858 0.007759374100714922 0.016001654788851738 0.1033957228064537 0.001995459431782365 0.032015323638916016 -0.021092113107442856 0.002230339916422963 -0.00754068698734045 -0.008346311748027802 -0.006657437887042761 -0.005853268783539534 0.005248411558568478 -0.012063649483025074 0.0007411646074615419 0.0012348620221018791 0.010516305454075336 0.0065178233198821545 0.008556502871215343 0.012632056139409542 -0.01750234328210354 0.014869245700538158 0.0040106079541146755 0.010350767523050308 0.00023815924942027777 -0.0017841802909970284 0.01280311681330204 0.0029235328547656536 -0.0018329344457015395 -0.001434572390280664 0.005715138278901577 -0.008453655056655407 0.01978495717048645 -0.014982262626290321 -0.011370130814611912 -0.0019026289228349924 -0.010848644189536572 -0.004148903302848339 0.0004077104094903916 0.001275146147236228 0.016794821247458458 0.00638962909579277 0.005566077772527933 -0.0024874855298548937 0.0035447324626147747 0.0032384449150413275 -0.007924928329885006 -0.004278792534023523 0.006035189609974623 0.00555735407397151 0.010253175161778927 -0.010604343377053738 -0.01562418881803751 0.006578956730663776 -0.007765111513435841 -0.0028846883215010166 0.01938934437930584 0.003987005911767483 0.004515376873314381 -0.01013682596385479
Aldrig Ensam,-0.057394903153181076 0.04769641160964966 0.01501909177750349 0.0041624875739216805 0.00694469828158617 0.03981926292181015 0.03836150839924812 0.017117459326982498 -0.00853418093174696 0.02473510056734085 -0.024903425946831703 -0.0064742788672447205 0.007663272321224213 0.012853369116783142 0.018157755956053734 -0.038707997649908066 0.0029153600335121155 -0.006426704116165638 -0.004202297423034906 0.016670960932970047 0.009142331779003143 0.02036566473543644 -0.04574233666062355 -0.009186103008687496 0.015043588355183601 0.00471113994717598 -0.0001537315547466278 -0.022894656285643578 0.0049592480063438416 -0.026257751509547234 0.022175345569849014 0.027028096839785576 0.009950232692062855 0.034715838730335236 -0.007382832467556 0.02054002694785595 0.029729044064879417 0.02537667565047741 -0.010233000852167606 -0.03164872154593468 -0.006560467183589935 -0.0023955272044986486 0.018515724688768387 0.3325718343257904 0.038112565875053406 0.045548077672719955 -0.03559901937842369 0.018874632194638252 -3.974288847530261e-05 -0.033388253301382065 -0.01309142168611288 -0.04377525672316551 0.0011489138705655932 -0.003634768771007657 -0.031018007546663284 -0.02115781418979168 0.014668690972030163 0.03442807123064995 -0.0021533886902034283 -0.033479880541563034 -0.044078875333070755 -0.01480333972722292 -0.0011518534738570452 -0.03066839836537838 -0.0073099820874631405 -0.007741773035377264 -0.0048340740613639355 0.036044638603925705 0.03093562088906765 0.028996596112847328 -0.010019898414611816 -0.0065835448913276196 0.0020141906570643187 -0.040329691022634506 -0.08000855892896652 0.04537435248494148 -0.02532336115837097 -0.010597926564514637 -0.027926385402679443 -0.042447835206985474 0.007665286306291819 0.025284025818109512 0.02647409401834011 -0.002253454877063632 -0.04303808882832527 0.0007649622857570648 0.010592152364552021 -0.007052630186080933 0.027816927060484886 0.00760772405192256 -0.023607322946190834 -0.028506964445114136 -0.004419471602886915 0.039469581097364426 -0.020975513383746147 0.029583990573883057 0.03624574840068817 -0.006545181851834059 -0.048870474100112915 -0.012467448599636555
TV4 Hockey,-0.04674037545919418 0.01778346858918667 0.04911932349205017 -0.0038151368498802185 -0.0028710830956697464 -0.037002839148044586 -0.005892528221011162 0.03123585879802704 -0.0003778776153922081 -0.026705753058195114 -0.028039410710334778 -0.04221401736140251 0.04245016723871231 -0.004922022111713886 0.002586986869573593 -0.019567929208278656 0.00818579737097025 -0.004143786150962114 -0.002498404122889042 -0.03706926107406616 -0.02248188853263855 -0.007750184275209904 -0.02280828356742859 0.0009491723030805588 0.012887557037174702 -0.01841089315712452 -0.0020586084574460983 -0.021978193894028664 -0.007139950059354305 0.03641115501523018 0.003280157223343849 -0.014025825075805187 -0.0027726413682103157 0.03629370778799057 -0.006554311607033014 0.007750588469207287 -0.0054923780262470245 -0.00023091770708560944 -0.0312814898788929 -0.0008394094184041023 -0.01243288628757 0.006278233602643013 -0.0009320029057562351 0.1607128530740738 0.015158325433731079 0.0592859648168087 0.05269213765859604 0.046353649348020554 0.011615704745054245 -0.01914280839264393 -0.01850283518433571 -0.03087225928902626 -0.008567625656723976 -0.025634055957198143 -0.02511538565158844 -0.0076095713302493095 0.035861577838659286 0.00939514022320509 -0.010351333767175674 -0.026032479479908943 -0.032664358615875244 -0.008541267365217209 0.02671092376112938 -0.00786672905087471 -0.007176660001277924 0.021868599578738213 -0.005437410436570644 0.011953920125961304 0.014238012954592705 0.0024641985073685646 -0.016602057963609695 -0.02825867384672165 -0.025472577661275864 -0.05420326441526413 -0.022906333208084106 0.035787053406238556 -0.05163567513227463 0.012407338246703148 -0.0061201658099889755 0.028095776215195656 0.02159322053194046 0.0067343944683671 0.004962846636772156 -0.009830087423324585 -0.0004690163768827915 -0.0003028055652976036 0.017252696678042412 -0.056683436036109924 0.047857560217380524 0.02397286519408226 0.001247904496267438 -0.008533812128007412 -0.002565286122262478 -0.007967844605445862 -0.039843298494815826 -0.008734902366995811 -0.01614127866923809 -0.003776832716539502 -0.012927383184432983 0.0022587194107472897
Jacke Sjödin,-0.012725583277642727 0.08441835641860962 0.03375757485628128 0.007579206954687834 -0.0031157066114246845 0.07085315138101578 -0.01906333863735199 -0.012968502938747406 0.020523274317383766 0.016614088788628578 0.03284513205289841 -0.029423225671052933 0.009599021635949612 -0.006734222173690796 -0.00516164768487215 0.005232115741819143 0.006238850764930248 -0.006091014947742224 -0.007521941792219877 -0.008310764096677303 -0.049498461186885834 0.031176704913377762 -0.0241329874843359 0.017517736181616783 0.014572200365364552 -0.007624866906553507 -0.009873931296169758 0.00388831808231771 0.004800626542419195 -0.014330143108963966 0.015484309755265713 0.017113978043198586 -0.01973775587975979 0.01650073565542698 -0.015121052041649818 0.015396514907479286 0.013548806309700012 -0.0028687359299510717 -0.0013656772207468748 0.016321854665875435 0.018352406099438667 0.009129589423537254 -0.0017503671115264297 0.29490765929222107 -0.05915876850485802 0.10578542947769165 0.0013934992020949721 0.0036727525293827057 0.020874716341495514 -0.020240042358636856 -0.056744176894426346 -0.007916675880551338 0.017237594351172447 -0.028619442135095596 -0.02893889509141445 -0.03801857307553291 0.022999033331871033 0.03046649694442749 -0.03279239311814308 0.01534940768033266 -0.023400647565722466 0.0280031468719244 0.01131358277052641 -0.023257717490196228 0.022146135568618774 0.03246327117085457 0.011732036247849464 0.009421196766197681 0.011439384892582893 0.031005263328552246 -0.004058694001287222 -0.01713423989713192 0.06142164394259453 -0.03074089251458645 -0.03162514790892601 -0.007026864681392908 -0.04797493666410446 -0.030038559809327126 0.003291228087618947 -0.0009196950122714043 0.02980060689151287 -0.012727669440209866 0.013427850790321827 -0.03613532707095146 -0.02918151579797268 0.0023593322839587927 0.04547448828816414 0.002447081496939063 0.03819458186626434 0.017048200592398643 -0.046893324702978134 -0.007461232598870993 0.006832820363342762 -0.006003125105053186 0.017686469480395317 -0.009304367937147617 -0.015500025823712349 0.029097294434905052 -0.010348093695938587 0.008833600208163261
SVT Nyheter,0.003560432232916355 -0.01766781322658062 0.012513049878180027 -0.014876593835651875 0.011766012758016586 0.007880478166043758 0.011466885916888714 -0.004019672516733408 -0.015814969316124916 -0.004957151133567095 -0.04859088361263275 -0.01835286058485508 0.023474538698792458 -0.032152239233255386 -0.022124381735920906 0.008255282416939735 -0.009171283803880215 -0.02193017303943634 -0.0006500403396785259 -0.025018760934472084 -0.005917216185480356 0.027050083503127098 0.006450348999351263 -0.019028881564736366 -0.015651369467377663 0.016843663528561592 -0.02314324863255024 -0.0057536824606359005 0.0038912661839276552 0.03089434653520584 0.006969095207750797 -0.005749015603214502 0.0037569014821201563 -0.004682678263634443 -0.004852184094488621 0.008202926255762577 -0.008367452770471573 0.005792270414531231 0.007577462587505579 0.031879886984825134 0.009086519479751587 -0.0164771918207407 -0.02236638031899929 0.09754558652639389 0.0044942558743059635 0.03330634906888008 -0.04075200855731964 0.007580956909805536 -0.017413640394806862 -0.011397896334528923 -0.012702102772891521 0.00841765571385622 0.010602397844195366 -0.019355105236172676 -0.006246090400964022 0.021879052743315697 0.010130907408893108 -0.002237654523923993 -0.008621657267212868 0.015519265085458755 0.0019067010143771768 0.0022358682472258806 -0.0019342340528964996 0.012870988808572292 -0.00852531660348177 0.004843384027481079 -0.0020376010797917843 0.01501940656453371 -0.016301048919558525 0.006018264219164848 -0.00932118110358715 -0.006993631366640329 0.007204507011920214 0.0033525985199958086 -0.03164098784327507 -0.017699772492051125 -0.0014478870434686542 0.006857149302959442 -0.005432192701846361 -0.0065396809950470924 0.016345549374818802 0.012865221127867699 -0.001046398770995438 -0.03197256475687027 0.008610916323959827 0.015823068097233772 -0.009522774256765842 0.013905065134167671 -0.0044691432267427444 -0.0012160914484411478 0.022706206887960434 -0.010833206586539745 -0.0041949087753891945 0.025167327374219894 -0.019632458686828613 0.012670786119997501 0.010183719918131828 -0.01000717468559742 -0.017809128388762474 -0.027186119928956032
Albin Lee Meldau,-0.022176550701260567 0.02284572832286358 0.016106799244880676 0.0027589404489845037 0.018393447622656822 0.024346310645341873 0.008219869807362556 0.016506606712937355 0.015474669635295868 0.019970683380961418 0.003688905853778124 -0.02437521331012249 -0.008778229355812073 -0.00035244334139861166 0.013544072397053242 0.01277410052716732 0.013778457418084145 0.01366629172116518 -0.007386526092886925 -0.0029197188559919596 -0.002782586496323347 0.007741859182715416 -0.003060286631807685 -0.006501668132841587 0.009103196673095226 -0.010055283084511757 0.011572119779884815 0.003029912244528532 0.01152642909437418 0.007700731512159109 0.019880175590515137 0.0006024945760145783 -0.008223054930567741 0.025411130860447884 -0.004564552567899227 0.0019865278154611588 0.02054203487932682 0.01275139581412077 -0.015855036675930023 0.004273012280464172 0.010214353911578655 0.006001908797770739 0.007252821698784828 0.1741597056388855 -0.01318381167948246 0.035492539405822754 0.007603049743920565 -0.00947842188179493 -0.001515910611487925 0.008718600496649742 -0.008933906443417072 0.006170371081680059 -0.007381793111562729 -0.007888466119766235 -0.011310866102576256 0.002527940087020397 0.010279139503836632 0.01670910231769085 -0.002202257513999939 0.0026173836085945368 -0.009891590103507042 -0.002937254263088107 0.0134217394515872 -0.0019761098083108664 0.015584890730679035 -0.0045859320089221 6.875395774841309e-05 -0.00393771892413497 0.003963174298405647 0.011242964304983616 -0.009029584005475044 0.010649948380887508 0.030347304418683052 -0.020649990066885948 -0.009112212806940079 -0.013518216088414192 -0.01268005184829235 -0.0038034417666494846 0.002867907052859664 -0.009820139035582542 0.01942322589457035 0.002353338059037924 0.016597507521510124 0.008876519277691841 -0.007927170023322105 -0.008801266551017761 -0.0020157077815383673 -0.002382710576057434 0.012158531695604324 0.022366220131516457 -0.019876159727573395 -0.002204365096986294 -0.015954311937093735 0.004126101266592741 0.002575764199718833 0.0003462372696958482 0.017705824226140976 -0.008288344368338585 -0.01189711969345808 -0.015819545835256577
